ablation_id,topk,h_critical,risk_score,rows,collision_count,collision_free_count,min_safety_h_min,min_safety_h_mean,goal_distance_reduction_ratio_mean,intervention_rate_mean,control_deviation_mean,active_constraints_mean,runtime_mean,runtime_p95,qp_infeasible_count,fallback_used_rate,risk_aware_selected_count_debug_mean
A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid,20,0,20,0.000333671545377,0.0007645155739737,0.5711912208769162,0.9072577612196993,0.0593167102542802,156.81418088630886,0.0601684841068095,0.069046281715855,0,0.0,156.27801332525743
B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid,20,0,20,0.000333671021508,0.0007631242042407,0.5711940388034845,0.9110555508394894,0.0593377161375481,289.56279464390497,0.0606368119109501,0.0695648435037583,0,0.0,286.75237134207873
C_topk500_h0006_hybrid,500,0.0006,risk_v2_hybrid,20,0,20,0.000333671370754,0.0007631149783264,0.571193285800073,0.9112865345113332,0.0593376745372802,397.34620269590425,0.0602993758730048,0.0692719952343031,0,0.0,387.50393541876895
D_topk300_h0004_hybrid,300,0.0004,risk_v2_hybrid,20,0,20,0.000333671021508,0.0007631242042407,0.5711940388034845,0.9110555508394894,0.0593377161375481,289.56279464390497,0.0601679286543523,0.068879056754522,0,0.0,286.75237134207873
E_topk300_h0010_hybrid,300,0.001,risk_v2_hybrid,20,0,20,0.000333671021508,0.0007631242042407,0.5711940388034845,0.9110555508394894,0.0593377161375481,289.56279464390497,0.0601853558661076,0.0687763389106839,0,0.0,286.75237134207873
F_topk300_h0006_activefreq,300,0.0006,risk_v0_active_frequency,20,0,20,0.0003336713125463,0.0007631136802956,0.5711932778092528,0.9111630777212096,0.0593376606531384,289.56293132909786,0.0599662861631554,0.0689220117172226,0,0.0,286.75257315842583
G_topk300_h0006_geometry,300,0.0006,risk_v1_geometry,20,0,20,0.000333671370754,0.0007643966790055,0.571165545055878,0.908456116405932,0.0593150186000297,289.5305693629206,0.0607603085531838,0.069311135248281,0,0.0,286.69789983844913
