scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition,ablation_id,topk,h_critical,risk_score
stonehenge,risk_aware_topk_v0,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0004690187925007,official GSplatLoader.query_distance safety h value; not meters,0.8293976092040773,0.7841053949339123,0.1337702550117066,0.1337702550117066,347,347,0.0597234368324279,0.0673729788511991,0.9942363112391932,0.0744193361160957,0.1168820261955261,158.94524495677234,166.39999999999998,0,26.75305861607194,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,12,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000333671545377,official GSplatLoader.query_distance safety h value; not meters,0.835087844491923,0.7842408858824762,0.1293308549284429,0.1293308549284429,364,364,0.0606454963703731,0.0713475528173148,0.9972527472527472,0.0787318010526212,0.1182199344038963,162.6401098901099,214.94999999999976,0,28.473570074886084,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007767628412693,official GSplatLoader.query_distance safety h value; not meters,0.2463782860007004,0.7842169948283072,0.5910029557898887,0.5910029557898887,123,123,0.0622527115652716,0.0749660659581422,1.0,0.0908293574442708,0.1130841895937919,164.16260162601623,242.6,0,9.81180427595973,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,14,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0010722744045779,official GSplatLoader.query_distance safety h value; not meters,0.2492456332741461,0.7840673094735207,0.5886419563942371,0.5886419563942371,115,115,0.0593406633190486,0.0637802699580788,0.991304347826087,0.0790800869849315,0.1164115965366363,150.0,150.0,0,8.839457150548697,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,15,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005745131056755,official GSplatLoader.query_distance safety h value; not meters,0.2508648649169507,0.7840023050097159,0.5873236726688755,0.5873236726688755,128,128,0.0592896774760447,0.0702262762002647,0.984375,0.0802139530629605,0.1161788925528526,150.015625,150.0,0,9.840206816792488,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,16,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001028062775731,official GSplatLoader.query_distance safety h value; not meters,0.0489888086567331,0.7841134052928949,0.7457006237158218,0.7457006237158218,39,39,0.0664613496703215,0.0848142623901367,0.9487179487179488,0.0934398724464999,0.1200236082077026,150.0,150.0,0,3.2834156565368176,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,17,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0004926064284518,official GSplatLoader.query_distance safety h value; not meters,0.9915573165470536,0.7842443635063541,0.0066211269108416,0.0008248954676328,446,465,0.0592618917425473,0.0696358282119035,0.7053763440860215,0.0415017802771897,0.1091944500803947,157.09462365591398,181.5999999999999,0,35.71985854022205,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,18,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000692875823006,official GSplatLoader.query_distance safety h value; not meters,0.9912523863845818,0.7842110507680883,0.0068599752650602,0.0003385734579037,393,411,0.059272970351642,0.0665493011474609,0.5888077858880778,0.0280539058316656,0.1033527106046676,157.97810218978103,235.5,0,31.5456679854542,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,19,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007741814479231,official GSplatLoader.query_distance safety h value; not meters,0.9914759305438964,0.7840603005550516,0.0066833844597046,0.0007840745696535,386,404,0.0599347216925482,0.0677550852298736,0.5272277227722773,0.0247665041226604,0.0994571521878242,153.60148514851485,167.69999999999993,0,31.347101040184494,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,A_topk150_h0006_hybrid,150,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511265041306,official GSplatLoader.query_distance safety h value; not meters,0.8150653908712976,0.784,0.1449887335569026,0.1449887335569026,325,325,0.0607523046261989,0.0696595605462789,0.9046153846153846,0.0250667638247636,0.0749241933226585,271.87384615384616,300.0,0,25.414911795407534,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
