scene,method,rows,success_count,collision_count,collision_free_count,stopped_before_goal_count,solver_failed_count,min_safety_h_min,min_safety_h_mean,goal_distance_reduction_ratio_mean,final_goal_distance_mean,closest_goal_distance_mean,num_steps_mean,runtime_mean_mean,runtime_p95_mean,intervention_rate_mean,control_deviation_mean_mean,active_constraints_mean_mean,qp_infeasible_count_sum
stonehenge,no_filter,100,0,99,1,100,0,-0.00023618369596078992,-0.00021362821251386777,0.9915018246518946,0.006663629342434534,0.0008040468408001629,312.24,1.9624323098279163e-05,2.5144603103399275e-05,0.0,0.0,0.0,0
stonehenge,risk_aware_v1_pre_cbf,100,0,0,100,100,0,0.00031725395820103586,0.0008605107385665178,0.3246946943934709,0.5295251366298932,0.5291163605316733,149.77,0.03987356792207894,0.042931823557242746,0.9203294457596181,0.06905307730576826,385.5619684292822,0
stonehenge,safer_splat_filter,100,0,0,100,100,0,0.000317254540277645,0.0008604969101725146,0.324696751118169,0.5295235229671028,0.5291133673398228,149.88,0.06214337873065413,0.07051209185086191,0.9254504193236854,0.06909715477600109,505.58664953518127,0
