scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,no_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022564719256479293,official GSplatLoader.query_distance safety h value; not meters,0.9915435873732275,0.784,0.006629827499389693,0.0008072526454932067,324,343,2.1226682398826665e-05,2.9727630317211147e-05,0.0,0.0,0.0,0.0,0.0,0,6.270439710468054,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022498128237202764,official GSplatLoader.query_distance safety h value; not meters,0.991271426034736,0.7840896733951637,0.0068439847096294125,0.00032600818752376537,324,342,2.0061385387565657e-05,2.9300060123205186e-05,0.0,0.0,0.0,0.0,0.0,0,6.12548335082829,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022701872512698174,official GSplatLoader.query_distance safety h value; not meters,0.9911965135397209,0.7842325773112758,0.006903980876069586,0.00013563504421269473,322,340,2.021227470215629e-05,3.0534528195858e-05,0.0,0.0,0.0,0.0,0.0,0,6.155454369261861,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022071685816626996,official GSplatLoader.query_distance safety h value; not meters,0.9912995259964675,0.7842277798056816,0.006823153411047338,0.0003847789243776896,319,337,1.973665432689452e-05,2.936422824859619e-05,0.0,0.0,0.0,0.0,0.0,0,5.995772087946534,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.0002250014804303646,official GSplatLoader.query_distance safety h value; not meters,0.9915824605832264,0.784082025527739,0.006600041355863476,0.0007148197182130586,314,333,2.0275065848777245e-05,3.006868064403534e-05,0.0,0.0,0.0,0.0,0.0,0,5.967834070324898,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022596996859647334,official GSplatLoader.query_distance safety h value; not meters,0.9912899499419274,0.7840002568014284,0.006828681482282185,0.00036929905452758667,309,327,1.9945511850742024e-05,2.99748033285141e-05,0.0,0.0,0.0,0.0,0.0,0,5.837806593626738,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022611627355217934,official GSplatLoader.query_distance safety h value; not meters,0.9911540351550002,0.7840974736682284,0.006936098687122265,2.9136934686965667e-05,302,320,1.975828199647367e-05,2.9133819043636323e-05,0.0,0.0,0.0,0.0,0.0,0,5.6909339390695095,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022833772527519614,official GSplatLoader.query_distance safety h value; not meters,0.99114069692048,0.7842369518727405,0.006947792842799585,1.0244700299589289e-05,294,312,1.9725961371874197e-05,2.643819898366928e-05,0.0,0.0,0.0,0.0,0.0,0,5.571594366803765,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022489078401122242,official GSplatLoader.query_distance safety h value; not meters,0.9912225442416723,0.7842225786662452,0.006883478988924632,0.00020432999539905667,285,303,1.9770300034249184e-05,2.962145954370498e-05,0.0,0.0,0.0,0.0,0.0,0,5.412623280659318,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022507322137244046,official GSplatLoader.query_distance safety h value; not meters,0.9913831686386113,0.7840745608661205,0.006756238265738274,0.0005842524359807899,275,293,2.0411545760395584e-05,3.0193850398063654e-05,0.0,0.0,0.0,0.0,0.0,0,5.299584221094847,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.0002297748433193192,official GSplatLoader.query_distance safety h value; not meters,0.9915910263839133,0.7840010261711613,0.006592643944058217,0.0008453444692781732,263,282,1.9733133521063108e-05,2.9676128178834915e-05,0.0,0.0,0.0,0.0,0.0,0,5.041329775005579,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
