scene,trial,step,candidate_budget,candidate_count_total,candidate_count_forced_near,candidate_count_forced_heading,candidate_count_risk_ranked,candidate_count_final,fallback_used,v1_insertion_level,near_distance_threshold,heading_distance_threshold,heading_cos_threshold,risk_score_name,fallback_reason,min_safety_h_step,runtime_step,control_deviation,active_constraints_count
flight,0,1,2000,281756,0,25399,0,25399,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013899390585720539,0.06704633682966232,5.3305689723393e-11,189
flight,0,2,2000,281756,0,25399,0,25399,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.01389386784285307,0.06397160328924656,6.92177634653568e-11,189
flight,0,3,2000,281756,0,25476,0,25476,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013883593492209911,0.06396966427564621,9.018488039691519e-11,189
flight,0,4,2000,281756,0,25629,0,25629,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013869432732462883,0.06422627344727516,1.1292759782843831e-10,187
flight,0,5,2000,281756,0,25819,0,25819,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013852288946509361,0.06471490114927292,1.4398604530896364e-10,185
flight,0,6,2000,281756,0,26101,0,26101,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013833049684762955,0.06411169469356537,1.6132145619351945e-10,189
flight,0,7,2000,281756,0,26392,0,26392,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013812579214572906,0.0628615040332079,2.1246593373547285e-10,189
flight,0,8,2000,281756,0,26766,0,26766,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013791684061288834,0.06429087184369564,2.7162230797905806e-10,196
flight,0,9,2000,281756,0,27228,0,27228,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013771094381809235,0.0646304339170456,3.4386712921552487e-10,196
flight,0,10,2000,281756,0,27761,0,27761,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013751471415162086,0.06452758610248566,3.7150646448047553e-10,200
flight,0,11,2000,281756,0,28482,0,28482,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.01373339630663395,0.06429552659392357,3.752355759445436e-09,197
flight,0,12,2000,281756,0,29150,0,29150,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013717371970415115,0.06349433213472366,3.760732170121628e-09,203
flight,0,13,2000,281756,0,29861,0,29861,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013703840784728527,0.06493950821459293,3.781718493911512e-09,205
flight,0,14,2000,281756,0,30689,0,30689,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013693166896700859,0.06524789333343506,3.808933168869544e-09,207
flight,0,15,2000,281756,0,31323,0,31323,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013685667887330055,0.06667404808104038,3.84783449547399e-09,213
flight,0,16,2000,281756,0,31864,0,31864,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013681607320904732,0.06702817603945732,5.713691741959792e-09,217
flight,0,17,2000,281756,0,32244,0,32244,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013681206852197647,0.06673857197165489,7.592973361170152e-09,224
flight,0,18,2000,281756,0,32605,0,32605,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013630663976073265,0.06591806188225746,9.479739659923325e-09,226
flight,0,19,2000,281756,0,32899,0,32899,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.01357134710997343,0.06601031683385372,1.32967850063892e-08,227
flight,0,20,2000,281756,0,33180,0,33180,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.01351994276046753,0.06655945628881454,1.710999164572513e-08,226
flight,0,21,2000,281756,0,33465,0,33465,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013477010652422905,0.06555972620844841,2.5652086677041552e-08,233
flight,0,22,2000,281756,0,33690,0,33690,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.01344304159283638,0.06670100428164005,4.2816186152094815e-08,247
flight,0,23,2000,281756,0,33898,0,33898,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.01341848075389862,0.06762225553393364,7.140011604178653e-08,244
flight,0,24,2000,281756,0,34200,0,34200,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.013342684134840965,0.06878039240837097,9.753365892706256e-10,243
flight,0,25,2000,281756,0,34626,0,34626,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.012812025845050812,0.06907760724425316,2.866024972902892e-09,247
flight,0,26,2000,281756,0,35061,0,35061,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.012287493795156479,0.06829923577606678,1.7184502709710614e-08,247
flight,0,27,2000,281756,0,35451,0,35451,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.011769799515604973,0.06861339695751667,0.0018048646161332726,248
flight,0,28,2000,281756,0,35920,0,35920,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.011260571889579296,0.06708111241459846,0.008240338414907455,252
flight,0,29,2000,281756,0,36544,0,36544,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.010763689875602722,0.06850561685860157,0.013439980335533619,257
flight,0,30,2000,281756,0,37171,0,37171,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.010281703434884548,0.07004631124436855,0.01777663268148899,260
flight,0,31,2000,281756,0,37047,0,37047,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.009816237725317478,0.06931468844413757,0.021399404853582382,280
flight,0,32,2000,281756,0,35008,0,35008,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.009368203580379486,0.06852957047522068,0.02448229119181633,269
flight,0,33,2000,281756,0,33520,0,33520,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.008938010782003403,0.06705422885715961,0.027155360206961632,268
flight,0,34,2000,281756,0,32490,0,32491,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.008525718003511429,0.06587636098265648,0.02951526828110218,266
flight,0,35,2000,281756,0,31496,0,31497,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.008131131529808044,0.06617928855121136,0.031634505838155746,240
flight,0,36,2000,281756,0,30583,0,30584,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0077538941986858845,0.0648843552917242,0.033567700535058975,233
flight,0,37,2000,281756,0,29791,0,29792,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.007393531035631895,0.06496605090796947,0.03535540774464607,234
flight,0,38,2000,281756,0,29193,0,29194,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.007049495819956064,0.06496087275445461,0.037028513848781586,224
flight,0,39,2000,281756,0,28574,0,28576,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.00672119902446866,0.06496974639594555,0.038610201328992844,251
flight,0,40,2000,281756,0,28012,0,28015,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.006408029701560736,0.06461846269667149,0.040118034929037094,244
flight,0,41,2000,281756,0,27450,0,27453,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.006109369918704033,0.06532200425863266,0.041565198451280594,251
flight,0,42,2000,281756,0,27040,0,27043,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.005824599880725145,0.06393999233841896,0.04296199232339859,263
