scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
flight,no_filter,12,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009000360732898116,official GSplatLoader.query_distance safety h value; not meters,0.9946642870007842,0.5573370750545091,0.0029737906763132056,0.001989048214227805,197,205,2.4424066267362456e-05,3.9847940206527705e-05,0.0,0.0,0.0,0.0,0.0,0,3.651954425498843,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,13,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.000899905280675739,official GSplatLoader.query_distance safety h value; not meters,0.9955760638087945,0.5561255426533522,0.002460263914997982,0.0023095059893121044,202,205,2.56097080504022e-05,4.0891021490097034e-05,0.0,0.0,0.0,0.0,0.0,0,3.744398405775428,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,14,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.000894195050932467,official GSplatLoader.query_distance safety h value; not meters,0.9869986543383141,0.548474838312239,0.007130910959634741,0.0007100785138792388,180,198,2.4580951742451602e-05,3.792475908994672e-05,0.0,0.0,0.0,0.0,0.0,0,3.602857632562518,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,15,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009000727441161871,official GSplatLoader.query_distance safety h value; not meters,0.9878143794534446,0.5451193570033158,0.006642617637024644,0.0015303317858798556,189,207,2.4137532581453737e-05,3.981441259384155e-05,0.0,0.0,0.0,0.0,0.0,0,3.6652559842914343,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,16,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009097629226744175,official GSplatLoader.query_distance safety h value; not meters,0.9873055629606529,0.5508420508282867,0.006992629732864558,0.0006117117224917241,196,214,2.531712509204294e-05,4.063192754983902e-05,0.0,0.0,0.0,0.0,0.0,0,3.9179800674319267,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,17,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009063759353011847,official GSplatLoader.query_distance safety h value; not meters,0.9875369790047359,0.5575132114071476,0.006948298858904379,2.3366759883127497e-05,203,221,2.470602412029629e-05,4.0046870708465576e-05,0.0,0.0,0.0,0.0,0.0,0,3.8922290094196796,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,18,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.000900066108442843,official GSplatLoader.query_distance safety h value; not meters,0.9873613550632334,0.5558237106173198,0.007024858525928411,0.00029002895308185737,209,227,2.399382349678073e-05,3.466978669166561e-05,0.0,0.0,0.0,0.0,0.0,0,3.974979253485799,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,19,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009000026620924473,official GSplatLoader.query_distance safety h value; not meters,0.9878575110351633,0.5481140179134305,0.0066554684139861495,0.0008593670641149873,215,233,2.3065470638704915e-05,3.3193826675415024e-05,0.0,0.0,0.0,0.0,0.0,0,4.070891318842769,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,0,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0006012368248775601,official GSplatLoader.query_distance safety h value; not meters,0.2570814867596179,0.545,0.4048905897160083,0.4048905897160083,93,93,0.12610681851704916,0.13692218363285064,0.7204301075268817,0.043207878716945425,0.09521715342998505,197.49462365591398,222.0,0,13.414718667045236,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,1,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0012490706285461783,official GSplatLoader.query_distance safety h value; not meters,0.27126982233866404,0.5496245748669145,0.4005280140898029,0.4005280140898029,88,88,0.11314624770205807,0.121837012283504,0.75,0.03520794990429518,0.07789738476276398,172.14772727272728,211.0,0,11.5452263019979,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,2,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007776990532875061,official GSplatLoader.query_distance safety h value; not meters,0.2910223780290951,0.5569160362085966,0.3948410069886332,0.3948410069886332,99,99,0.11464336459910629,0.1299323607236147,0.7777777777777778,0.04307673417453972,0.09201717376708984,172.53535353535352,220.1,0,13.184554429724813,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,3,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0013759367866441607,official GSplatLoader.query_distance safety h value; not meters,0.26617736623972804,0.5566727784633879,0.4084990844346517,0.4084990844346517,89,89,0.11355853118420986,0.12503921985626218,0.7865168539325843,0.04450102485337977,0.07990839332342148,190.6067415730337,247.2,0,11.742586912587285,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,4,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.001369744655676186,official GSplatLoader.query_distance safety h value; not meters,0.25916264928561983,0.5492316626019831,0.40689132985050747,0.40689132985050747,88,88,0.113832143495198,0.1208593439310789,0.8409090909090909,0.05196427229991221,0.09558131545782089,196.92045454545453,265.59999999999997,0,11.63814451545477,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
