scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,no_filter,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022497869213111699,official GSplatLoader.query_distance safety h value; not meters,0.9933943854579765,0.7842169948283072,0.005180235185139725,0.005180235185139725,263,263,1.987683172461651e-05,2.8141029179096202e-05,0.0,0.0,0.0,0.0,0.0,0,4.458423092961311,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,14,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00023171832435764372,official GSplatLoader.query_distance safety h value; not meters,0.991677438467537,0.7840673094735207,0.006525448428686034,0.0021277844996033086,254,273,1.9541603850794364e-05,2.2386759519577025e-05,0.0,0.0,0.0,0.0,0.0,0,4.64078938215971,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,15,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022531926515512168,official GSplatLoader.query_distance safety h value; not meters,0.9916536976990271,0.7840023050097159,0.006543520242270688,0.0007872110290699281,266,285,1.9629214677894325e-05,2.95594334602356e-05,0.0,0.0,0.0,0.0,0.0,0,4.804260795935988,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,16,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022685853764414787,official GSplatLoader.query_distance safety h value; not meters,0.9916382441283919,0.7841134052928949,0.006556564870714592,0.000599008280016751,277,296,1.9325780355044315e-05,2.2127293050289154e-05,0.0,0.0,0.0,0.0,0.0,0,4.948933098465204,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,17,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022499995247926563,official GSplatLoader.query_distance safety h value; not meters,0.9916766967709711,0.7842443635063541,0.0065275036431202025,0.0004907770478996191,287,306,1.9619722235826107e-05,2.443324774503708e-05,0.0,0.0,0.0,0.0,0.0,0,5.161755846813321,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,18,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022533349692821503,official GSplatLoader.query_distance safety h value; not meters,0.9910692878183172,0.7842110507680883,0.0070035631841049275,0.00019546545379091346,296,314,1.9614733043749622e-05,2.288110554218286e-05,0.0,0.0,0.0,0.0,0.0,0,5.277700964361429,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,19,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.0002255635045003146,official GSplatLoader.query_distance safety h value; not meters,0.9912857675132491,0.7840603005550516,0.006832483742668423,0.00035864487306650573,304,322,1.9142253798727664e-05,2.4736020714044553e-05,0.0,0.0,0.0,0.0,0.0,0,5.368345821276307,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.14498873355662784,0.14498873355662784,325,325,0.059305387752560466,0.06822401769459248,0.9046153846153846,0.02506676092467719,0.07492418587207794,316.7938461538462,485.0,0,24.819987945258617,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069269824773073,official GSplatLoader.query_distance safety h value; not meters,0.19687965977773483,0.7840896733951637,0.6297183652618886,0.6297183652618886,114,114,0.05612320318948804,0.06309014577418566,0.9824561403508771,0.06708244783856405,0.1060621365904808,447.2456140350877,905.4,0,8.338923893868923,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001313697430305183,official GSplatLoader.query_distance safety h value; not meters,0.19347984402805463,0.7842325773112758,0.6324993805713709,0.6324993805713709,104,104,0.057760349671857864,0.06710891164839268,0.9903846153846154,0.06545805661445254,0.08727268874645233,485.1923076923077,981.6499999999997,0,7.795044094324112,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008620934560895,official GSplatLoader.query_distance safety h value; not meters,0.22796674539090717,0.7842277798056816,0.6054499251982434,0.6054499251982434,123,123,0.058400989320825755,0.06852446720004081,0.991869918699187,0.06581279634482916,0.08786013722419739,539.5934959349594,1007.2999999999995,0,9.243772329762578,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000838582287542522,official GSplatLoader.query_distance safety h value; not meters,0.8193102780640665,0.784082025527739,0.1416755631675707,0.1416755631675707,357,357,0.059011284762821276,0.06718499027192593,0.9523809523809523,0.03923597396403029,0.07863812148571014,351.8935574229692,680.3999999999999,0,27.173737931996584,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147453725337982,official GSplatLoader.query_distance safety h value; not meters,0.291468882063387,0.7840002568014284,0.5554885784141077,0.5554885784141077,170,170,0.059354265658732724,0.06531167095527053,0.9588235294117647,0.06462905063563323,0.09789249300956726,619.9529411764706,852.3,0,13.009831899777055,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385841941460967,official GSplatLoader.query_distance safety h value; not meters,0.5703917731194327,0.7840974736682284,0.3368547253641399,0.3368547253641399,243,243,0.0591278949085577,0.06650120485574007,0.9218106995884774,0.05751893242755076,0.1121610477566719,404.5514403292181,668.8999999999997,0,18.54676722921431,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742089848965406,official GSplatLoader.query_distance safety h value; not meters,0.5912356037205354,0.7842369518727405,0.3205681441723083,0.3205681441723083,225,225,0.059226525119609304,0.06853534951806067,0.8933333333333333,0.04755965504176791,0.08738937973976135,403.47555555555556,685.1999999999999,0,17.259761912748218,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000632053124718368,official GSplatLoader.query_distance safety h value; not meters,0.8225472634165214,0.7842225786662452,0.13916244267487748,0.13916244267487748,331,331,0.058509930422433916,0.0669099185615778,0.9274924471299094,0.04766106851716785,0.08338264375925064,382.6465256797583,725.0,0,25.16701969690621,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710303369909525,official GSplatLoader.query_distance safety h value; not meters,0.7953130341136115,0.7840745608661205,0.16048984289238866,0.16048984289238866,303,303,0.05879880192846355,0.06862200573086738,0.9075907590759076,0.04677319670928579,0.09014107286930084,434.970297029703,805.4999999999999,0,23.02428789436817,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090779159218073,official GSplatLoader.query_distance safety h value; not meters,0.6669701065034062,0.7840010261711613,0.2610957782470022,0.2610957782470022,264,264,0.06056456256544951,0.06820434192195535,0.9772727272727273,0.06885043161988882,0.11730293184518814,459.07575757575756,719.8,0,20.54815010353923,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00046902106259949505,official GSplatLoader.query_distance safety h value; not meters,0.8285145075805013,0.7841053949339123,0.13446269975902744,0.13446269975902744,346,346,0.06093745447178452,0.06731540383771062,0.9942196531791907,0.07427165456104334,0.11627323180437088,430.3005780346821,754.0,0,27.075815197080374,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,12,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00033367102150805295,official GSplatLoader.query_distance safety h value; not meters,0.8350877942311328,0.7842408858824762,0.1293308943450096,0.1293308943450096,364,364,0.060326055459841925,0.06839174218475816,0.9972527472527473,0.07873187005582852,0.11821990460157394,458.18131868131866,842.0999999999998,0,28.264023846015334,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007767589995637536,official GSplatLoader.query_distance safety h value; not meters,0.24637634367307443,0.7842169948283072,0.5910044789962225,0.5910044789962225,123,123,0.06291323759388633,0.0767299810424447,1.0,0.09082947789532382,0.11308642476797104,571.829268292683,840.0999999999999,0,9.873926501721144,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,14,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0010722741717472672,official GSplatLoader.query_distance safety h value; not meters,0.2492454949106638,0.7840673094735207,0.5886420648805204,0.5886420648805204,115,115,0.06016368347665538,0.07305434700101614,0.991304347826087,0.07907999277549804,0.11641150712966919,517.4,742.9,0,8.935962580144405,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,15,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005723285721614957,official GSplatLoader.query_distance safety h value; not meters,0.25073187294384697,0.7840023050097159,0.5874279386823367,0.5874279386823367,128,128,0.060326926279230975,0.06865644510835409,0.984375,0.0801866334859917,0.11611944437026978,470.0703125,573.3,0,9.908739188686013,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,16,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001028067315928638,official GSplatLoader.query_distance safety h value; not meters,0.04898876720130281,0.7841134052928949,0.7457006562215804,0.7457006562215804,39,39,0.0652075637705051,0.08103862870484592,0.9487179487179487,0.09343982554603211,0.12002343684434891,379.0769230769231,448.6,0,3.2066720109432936,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,17,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0004922527587041259,official GSplatLoader.query_distance safety h value; not meters,0.9914434252694034,0.7842443635063541,0.006710445503391338,0.0006620868512147841,447,465,0.05941690696823981,0.070081078261137,0.7204301075268817,0.04154213977260014,0.10919397324323654,520.1720430107526,1030.7999999999995,0,35.5468975789845,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,18,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006928752409294248,official GSplatLoader.query_distance safety h value; not meters,0.9912523863867332,0.7842110507680883,0.006859975263373276,0.0003385028951948068,393,411,0.05952482415394916,0.06842625699937344,0.5888077858880778,0.028053989902273032,0.10335268080234528,556.1532846715329,1015.0,0,31.539196077734232,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,19,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007741630543023348,official GSplatLoader.query_distance safety h value; not meters,0.9915961122003994,0.7840603005550516,0.006589154793985706,0.0006904142162240565,386,405,0.05916404948558336,0.06703905835747719,0.5950617283950618,0.024969190802694014,0.09945697337388992,572.0814814814814,999.0,0,30.880202934145927,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511258056387305,official GSplatLoader.query_distance safety h value; not meters,0.8151260834788997,0.784,0.1449411505525427,0.1449411505525427,325,325,0.03564311508375865,0.04086773581802845,0.9015384615384615,0.02505720689320078,0.07496394962072372,191.84,381.0,0,17.122417775914073,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069268660619855,official GSplatLoader.query_distance safety h value; not meters,0.19687967863455672,0.7840896733951637,0.6297183504764493,0.6297183504764493,114,114,0.035441054586778604,0.0369756649248302,0.9824561403508771,0.06708249134343965,0.10606218129396439,278.7456140350877,451.7,0,5.9811251144856215,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013136927736923099,official GSplatLoader.query_distance safety h value; not meters,0.19347972984861803,0.7842325773112758,0.6324994701146047,0.6324994701146047,104,104,0.035498812346934125,0.03801963776350021,0.9903846153846154,0.06545803620390994,0.08727269619703293,295.08653846153845,540.9499999999997,0,5.53937211073935,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008615113794804,official GSplatLoader.query_distance safety h value; not meters,0.22796674574393724,0.7842277798056816,0.6054499249213874,0.6054499249213874,123,123,0.03617241925643227,0.03940657526254654,0.991869918699187,0.06581280356947398,0.0878601223230362,349.0569105691057,657.7999999999995,0,6.5225414503365755,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000838529085740447,official GSplatLoader.query_distance safety h value; not meters,0.819616646662365,0.784082025527739,0.14143534505645874,0.14143534505645874,357,357,0.03631304197681217,0.03918315693736076,0.9439775910364145,0.03918884664926572,0.07863824814558029,239.00840336134453,530.0,0,19.142484636977315,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147289579734206,official GSplatLoader.query_distance safety h value; not meters,0.291468214955073,0.7840002568014284,0.5554891014271972,0.5554891014271972,170,170,0.036205529454438126,0.03831261042505502,0.9588235294117647,0.06462932360046285,0.0978928729891777,381.16470588235296,565.0,0,9.04028102569282,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385838449001312,official GSplatLoader.query_distance safety h value; not meters,0.5703960814766261,0.7840974736682284,0.3368513471921489,0.3368513471921489,243,243,0.03613037427450404,0.03811348862946033,0.9218106995884774,0.05751680531268924,0.1121610477566719,240.20987654320987,357.6999999999995,0,12.913092583417892,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000874209450557828,official GSplatLoader.query_distance safety h value; not meters,0.5912355676463673,0.7842369518727405,0.3205681724630039,0.3205681724630039,225,225,0.03569157408343421,0.03840223811566829,0.8933333333333333,0.047559674913786536,0.08738937973976135,237.10222222222222,388.0,0,11.821952417492867,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320524262264371,official GSplatLoader.query_distance safety h value; not meters,0.8225472634112168,0.7842225786662452,0.13916244267903752,0.13916244267903752,331,331,0.03586919384578023,0.038123706355690956,0.9274924471299094,0.04766107421321072,0.08338262140750885,222.74320241691842,371.0,0,17.474575217813253,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710308026522398,official GSplatLoader.query_distance safety h value; not meters,0.7953933338982863,0.7840745608661205,0.16042688187398207,0.16042688187398207,303,303,0.036724161467339735,0.04074004665017128,0.9075907590759076,0.04676627600660257,0.09014105051755905,243.25412541254124,407.0,0,16.34702184982598,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090693011879921,official GSplatLoader.query_distance safety h value; not meters,0.666969936162392,0.7840010261711613,0.26109591179453207,0.26109591179453207,264,264,0.03627041778809419,0.04035160886123776,0.9772727272727273,0.06885046471714595,0.11730299890041351,259.5378787878788,418.5999999999999,0,14.075796891003847,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00046902571921236813,official GSplatLoader.query_distance safety h value; not meters,0.8285144651718557,0.7841053949339123,0.13446273301187525,0.13446273301187525,346,346,0.036903907652578255,0.04058711836114526,0.9942196531791907,0.0742717904444025,0.1162731945514679,281.82947976878614,439.75,0,18.689417766407132,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,12,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00033367317519150674,official GSplatLoader.query_distance safety h value; not meters,0.8350878095564164,0.7842408858824762,0.12933088232629558,0.12933088232629558,364,364,0.03744151427891556,0.04074851106852293,0.9972527472527473,0.07873182724103597,0.11821987479925156,301.68131868131866,570.9499999999998,0,19.87591877952218,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007767596980556846,official GSplatLoader.query_distance safety h value; not meters,0.24637738189676167,0.7842169948283072,0.5910036648035626,0.5910036648035626,123,123,0.03657295479159045,0.04034189116209745,1.0,0.09082942089535356,0.1130853220820427,352.9024390243902,643.1999999999998,0,6.652153206989169,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
