method,trial,step,time_s,x,y,z,vx,vy,vz,signed_clearance_m,active_pool_size
no_filter,9,0,0.0,0.4192415773868561,0.1573246270418167,-0.05243844911456108,0.0,0.0,0.0,0.19534336030483246,96
no_filter,9,1,0.05,0.4192415773868561,0.1573246270418167,-0.05243844911456108,-0.006000000052154064,-0.006000000052154064,0.006000000052154064,0.19534336030483246,96
no_filter,9,2,0.1,0.41894158720970154,0.15702462196350098,-0.052138447761535645,-0.012000000104308128,-0.012000000104308128,0.012000000104308128,0.19489498436450958,96
no_filter,9,3,0.15000000000000002,0.41834157705307007,0.1564246267080307,-0.05153844878077507,-0.017999999225139618,-0.017999999225139618,0.017999999225139618,0.19399912655353546,96
no_filter,9,4,0.2,0.41744157671928406,0.1555246263742447,-0.05063844844698906,-0.024000000208616257,-0.024000000208616257,0.024000000208616257,0.1926576942205429,96
no_filter,9,5,0.25,0.4162415862083435,0.15432462096214294,-0.04943844676017761,-0.029760001227259636,-0.029760001227259636,0.029760001227259636,0.19087356328964233,96
no_filter,9,6,0.30000000000000004,0.41475358605384827,0.1528366208076477,-0.04795044660568237,-0.035174399614334106,-0.035174399614334106,0.035174399614334106,0.18866853415966034,96
no_filter,9,7,0.35000000000000003,0.4129948616027832,0.15107789635658264,-0.04619172587990761,-0.040263935923576355,-0.040263935923576355,0.040263935923576355,0.18607299029827118,96
no_filter,9,8,0.4,0.4109816551208496,0.14906470477581024,-0.04417853057384491,-0.045048099011182785,-0.045048099011182785,0.045048099011182785,0.18311664462089539,96
no_filter,9,9,0.45,0.4087292551994324,0.146812304854393,-0.041926126927137375,-0.04954521358013153,-0.04954521358013153,0.04954521358013153,0.1798284351825714,96
no_filter,9,10,0.5,0.4062519967556,0.1443350464105606,-0.03944886475801468,-0.05377250164747238,-0.05377250164747238,0.05377250164747238,0.1762368232011795,96
no_filter,9,11,0.55,0.40356338024139404,0.14164641499519348,-0.03676024079322815,-0.057746149599552155,-0.057746149599552155,0.05730478838086128,0.17236974835395813,96
no_filter,9,12,0.6000000000000001,0.40067607164382935,0.13875910639762878,-0.03389500081539154,-0.061481378972530365,-0.061481378972530365,0.059971634298563004,0.1682555228471756,96
no_filter,9,13,0.65,0.39760199189186096,0.1356850415468216,-0.030896419659256935,-0.0649924948811531,-0.0649924948811531,0.06183471903204918,0.1639210730791092,96
no_filter,9,14,0.7000000000000001,0.39435237646102905,0.1324354112148285,-0.02780468389391899,-0.06829294562339783,-0.06829294562339783,0.06295684725046158,0.15939128398895264,96
no_filter,9,15,0.75,0.3909377157688141,0.12902076542377472,-0.024656841531395912,-0.07139536738395691,-0.07139536738395691,0.06340127438306808,0.15468885004520416,96
no_filter,9,16,0.8,0.38736793398857117,0.125450998544693,-0.021486777812242508,-0.07431164383888245,-0.07431164383888245,0.06323108822107315,0.14962038397789001,96
no_filter,9,17,0.8500000000000001,0.38365235924720764,0.12173541635274887,-0.01832522265613079,-0.07705294340848923,-0.07705294340848923,0.06250867247581482,0.1443730741739273,96
no_filter,9,18,0.9,0.3797997236251831,0.11788276582956314,-0.015199788846075535,-0.07962976396083832,-0.07962976396083832,0.061295196413993835,0.13899771869182587,96
no_filter,9,19,0.9500000000000001,0.3758182227611542,0.1139012798666954,-0.012135028839111328,-0.08205197751522064,-0.08205197751522064,0.05965019762516022,0.13351021707057953,96
no_filter,9,20,1.0,0.37171563506126404,0.10979868471622467,-0.009152518585324287,-0.08432886004447937,-0.08432886004447937,0.057631202042102814,0.12792490422725677,96
no_filter,9,21,1.05,0.3674992024898529,0.10558224469423294,-0.006270958110690117,-0.0864691287279129,-0.0864691287279129,0.055293407291173935,0.12225490808486938,96
no_filter,9,22,1.1,0.36317574977874756,0.101258784532547,-0.0035062876995652914,-0.08848097920417786,-0.08848097920417786,0.052689410746097565,0.11651235818862915,96
no_filter,9,23,1.1500000000000001,0.35875171422958374,0.09683473408222198,-0.0008718171156942844,-0.09037212282419205,-0.09037212282419205,0.04986900836229324,0.11070883274078369,96
no_filter,9,24,1.2000000000000002,0.35423311591148376,0.09231612831354141,0.0016216333024203777,-0.09214979410171509,-0.09214979410171509,0.04687900468707085,0.10485561192035675,96
no_filter,9,25,1.25,0.3496256172657013,0.08770863711833954,0.0039655836299061775,-0.09382080286741257,-0.09382080286741257,0.04376309737563133,0.09896418452262878,96
no_filter,9,26,1.3,0.3449345827102661,0.08301759511232376,0.006153738591820002,-0.09539155662059784,-0.09539155662059784,0.040561798959970474,0.09304673969745636,96
no_filter,9,27,1.35,0.34016501903533936,0.07824801653623581,0.008181829005479813,-0.09686806052923203,-0.09686806052923203,0.03731237351894379,0.08711667358875275,96
no_filter,9,28,1.4000000000000001,0.3353216052055359,0.07340461015701294,0.010047447867691517,-0.09825597703456879,-0.09825597703456879,0.03404882922768593,0.08118924498558044,96
no_filter,9,29,1.4500000000000002,0.33040881156921387,0.06849180907011032,0.011749889701604843,-0.09956061840057373,-0.09956061840057373,0.030801935121417046,0.07528255879878998,96
no_filter,9,30,1.5,0.3254307806491852,0.06351377815008163,0.013289986178278923,-0.10078698396682739,-0.10078698396682739,0.027599265798926353,0.06941844522953033,96
no_filter,9,31,1.55,0.3203914165496826,0.058474428951740265,0.014669949188828468,-0.10193976759910583,-0.10193976759910583,0.024465268477797508,0.06362384557723999,96
no_filter,9,32,1.6,0.31529441475868225,0.05337744206190109,0.01589321345090866,-0.10302338004112244,-0.10302338004112244,0.021421348676085472,0.05793255940079689,96
no_filter,9,33,1.6500000000000001,0.31014323234558105,0.04822627454996109,0.016964280977845192,-0.10404197871685028,-0.10404197871685028,0.018485985696315765,0.05081561580300331,96
no_filter,9,34,1.7000000000000002,0.3049411475658417,0.043024174869060516,0.01788857951760292,-0.10499946027994156,-0.10499946027994156,0.015674849972128868,0.04359209164977074,96
no_filter,9,35,1.75,0.29969117045402527,0.03777420148253441,0.01867232285439968,-0.10589949041604996,-0.10589949041604996,0.013000942766666412,0.036337319761514664,96
no_filter,9,36,1.8,0.29439619183540344,0.03247922658920288,0.019322369247674942,-0.10674551874399185,-0.10674551874399185,0.010474743321537971,0.029066134244203568,96
no_filter,9,37,1.85,0.2890589237213135,0.027141951024532318,0.019846105948090553,-0.1075407862663269,-0.1075407862663269,0.008104365319013596,0.021802376955747604,96
no_filter,9,38,1.9000000000000001,0.28368186950683594,0.021764911711215973,0.020251324400305748,-0.10828834027051926,-0.10828834027051926,0.005895715206861496,0.014588162302970886,96
no_filter,9,39,1.9500000000000002,0.27826744318008423,0.01635049469769001,0.020546110346913338,-0.10899104177951813,-0.10899104177951813,0.0038526603020727634,0.007506771013140678,96
no_filter,9,40,2.0,0.2728178799152374,0.010900942608714104,0.020738743245601654,-0.109651580452919,-0.109651580452919,0.0019771941006183624,0.0007479488849639893,96
no_filter,9,41,2.0500000000000003,0.26733529567718506,0.005418363492935896,0.020837603136897087,-0.11027248203754425,-0.11027248203754425,0.0002696040319278836,-0.0051793502643704414,96
