scene,method,trial,step,x,y,z,goal_x,goal_y,goal_z,start_x,start_y,start_z
stonehenge,safer_splat_filter,0,0,0.31200000643730164,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,1,0.31200000643730164,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,2,0.31174999475479126,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,3,0.31127500534057617,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,4,0.3105975091457367,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,5,0.30973777174949646,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,6,0.3087191879749298,-0.029995765537023544,0.049999941140413284,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,7,0.3075743615627289,-0.029973771423101425,0.04999964311718941,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,8,0.3063270151615143,-0.029925905168056488,0.04999901354312897,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,9,0.3049944341182709,-0.0298480037599802,0.049998022615909576,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,10,0.3035891354084015,-0.029738834127783775,0.04999668896198273,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,11,0.30212005972862244,-0.02959935925900936,0.0499950610101223,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,12,0.30060243606567383,-0.029435409232974052,0.04999397695064545,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,13,0.29904547333717346,-0.02924620732665062,0.04999349266290665,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,14,0.29745548963546753,-0.02903255820274353,0.04999364912509918,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,15,0.2958366870880127,-0.02879640832543373,0.04999447613954544,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,16,0.2941916584968567,-0.02854052558541298,0.049995992332696915,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,17,0.2925218939781189,-0.028268247842788696,0.0499982051551342,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,18,0.29082807898521423,-0.02798330783843994,0.050001110881567,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,19,0.2891102433204651,-0.027689699083566666,0.05000469088554382,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,20,0.28736796975135803,-0.027391590178012848,0.05000891536474228,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,21,0.285600483417511,-0.02709326706826687,0.050013743340969086,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,22,0.283806711435318,-0.026799101382493973,0.050019122660160065,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,23,0.28198543190956116,-0.02651354856789112,0.050024982541799545,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,24,0.28013521432876587,-0.026241155341267586,0.05003123730421066,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,25,0.27825450897216797,-0.02598659135401249,0.05003778636455536,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,26,0.2763417363166809,-0.025754693895578384,0.050044506788253784,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,27,0.27439528703689575,-0.025550514459609985,0.0500512532889843,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,28,0.27241361141204834,-0.02537938393652439,0.050057850778102875,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,29,0.27039530873298645,-0.02524697780609131,0.050064101815223694,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,30,0.26833921670913696,-0.025159375742077827,0.05006977170705795,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,31,0.2662445306777954,-0.025123128667473793,0.050074584782123566,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,32,0.2641109824180603,-0.025145303457975388,0.05007822439074516,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,33,0.261944055557251,-0.025226732715964317,0.05008350685238838,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,safer_splat_filter,0,34,0.25975164771080017,-0.02536194771528244,0.0500946119427681,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
