scene,method,trial,checkpoint,gaussian_count,success,feasible,collision,min_safety_h,min_safety_h_note,path_length,num_steps,stop_reason,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,start_x,start_y,start_z,goal_x,goal_y,goal_z,final_x,final_y,final_z,initial_goal_distance,final_goal_distance,goal_distance_reduction,goal_distance_reduction_ratio,closest_goal_distance,closest_goal_step,reached_goal_tolerance,goal_distance_final,max_steps,goal_tolerance,success_definition,radius,dt,distance_type
stonehenge,no_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022564719256479293,official GSplatLoader.query_distance safety h value; not meters,0.7957420349121094,343,stopped_before_goal,2.0695372373300114e-05,2.537732943892477e-05,0.0,0.0,0.0,0.0,0.0,0,5.730440065264702,,0.312,-0.03,0.05,-0.47200000000000003,-0.02999999999999995,0.05,-0.47862982749938965,-0.029999999329447746,0.05000000074505806,0.784,0.006629827499389693,0.7773701725006104,0.9915435873732275,0.0008072526454932067,324,True,0.006629827499389693,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022498128237202764,official GSplatLoader.query_distance safety h value; not meters,0.8187958598136902,342,stopped_before_goal,2.020544628476539e-05,2.225171774625778e-05,0.0,0.0,0.0,0.0,0.0,0,5.7100167870521545,,0.3112107771769787,-0.005137823494626711,0.055929079290546406,-0.47121077717697873,-0.05486217650537332,0.0440709207094536,-0.4780547618865967,-0.05486217886209488,0.044070933014154434,0.7840896733951637,0.0068439847096294125,0.7772456886855342,0.991271426034736,0.00032600818752376537,324,True,0.0068439847096294125,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022701872512698174,official GSplatLoader.query_distance safety h value; not meters,0.8383157253265381,340,stopped_before_goal,2.0260870566262917e-05,2.9583973810076713e-05,0.0,0.0,0.0,0.0,0.0,0,5.745954846031964,,0.3088462866296718,0.019624241800909714,0.05954902241444074,-0.4688462866296718,-0.07962424180090966,0.04045097758555927,-0.47575026750564575,-0.07962420582771301,0.04045098274946213,0.7842325773112758,0.006903980876069586,0.7773285964352062,0.9911965135397209,0.00013563504421269473,322,True,0.006903980876069586,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022071685816626996,official GSplatLoader.query_distance safety h value; not meters,0.8508330583572388,337,stopped_before_goal,2.025131921032416e-05,2.9136054217815388e-05,0.0,0.0,0.0,0.0,0.0,0,5.691332262009382,,0.304916049326981,0.044186487789280804,0.059450008187146686,-0.46491604932698105,-0.10418648778928083,0.04054999181285332,-0.4717392027378082,-0.1041865423321724,0.04054999724030495,0.7842277798056816,0.006823153411047338,0.7774046263946343,0.9912995259964675,0.0003847789243776896,319,True,0.006823153411047338,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.0002250014804303646,official GSplatLoader.query_distance safety h value; not meters,0.8568291664123535,333,stopped_before_goal,2.054276375530718e-05,2.716258168220515e-05,0.0,0.0,0.0,0.0,0.0,0,5.541933191008866,,0.29943589094737166,0.06845001097498306,0.05567059863862771,-0.45943589094737175,-0.128450010974983,0.04432940136137229,-0.466035932302475,-0.12845011055469513,0.044329412281513214,0.784082025527739,0.006600041355863476,0.7774819841718755,0.9915824605832264,0.0007148197182130586,314,True,0.006600041355863476,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022596996859647334,official GSplatLoader.query_distance safety h value; not meters,0.8604251146316528,327,stopped_before_goal,2.0910245266711676e-05,3.082649782299995e-05,0.0,0.0,0.0,0.0,0.0,0,5.381851287558675,,0.2924278781544506,0.09231711071380695,0.04968272066501933,-0.4524278781544506,-0.15231711071380694,0.050317279334980675,-0.4592565596103668,-0.15231651067733765,0.050317272543907166,0.7840002568014284,0.006828681482282185,0.7771715753191462,0.9912899499419274,0.00036929905452758667,309,True,0.006828681482282185,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022611627355217934,official GSplatLoader.query_distance safety h value; not meters,0.8649996519088745,320,stopped_before_goal,2.116076648235321e-05,3.14708799123764e-05,0.0,0.0,0.0,0.0,0.0,0,5.409626109525561,,0.28392022974230047,0.11569168261884841,0.04381841013779395,-0.4439202297423005,-0.17569168261884832,0.056181589862206054,-0.4508563280105591,-0.17569409310817719,0.05618157982826233,0.7840974736682284,0.006936098687122265,0.777161374981106,0.9911540351550002,2.9136934686965667e-05,302,True,0.006936098687122265,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022833772527519614,official GSplatLoader.query_distance safety h value; not meters,0.8670913577079773,312,stopped_before_goal,2.11385836920295e-05,3.108810633420944e-05,0.0,0.0,0.0,0.0,0.0,0,5.316279646009207,,0.2739472030083555,0.1384796055389553,0.04036157841440058,-0.43394720300835554,-0.19847960553895527,0.05963842158559943,-0.4408949911594391,-0.1984715312719345,0.05963840335607529,0.7842369518727405,0.006947792842799585,0.7772891590299409,0.99114069692048,1.0244700299589289e-05,294,True,0.006947792842799585,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022489078401122242,official GSplatLoader.query_distance safety h value; not meters,0.8623642921447754,303,stopped_before_goal,2.2076051866654123e-05,3.227405250072479e-05,0.0,0.0,0.0,0.0,0.0,0,5.223539663478732,,0.2625489558113557,0.16058912055138375,0.040658521397348935,-0.42254895581135576,-0.22058912055138366,0.05934147860265107,-0.42943239212036133,-0.22061336040496826,0.05934146046638489,0.7842225786662452,0.006883478988924632,0.7773390996773206,0.9912225442416723,0.00020432999539905667,285,True,0.006883478988924632,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022507322137244046,official GSplatLoader.query_distance safety h value; not meters,0.8512043952941895,293,stopped_before_goal,2.180433072429468e-05,3.172475844621658e-05,0.0,0.0,0.0,0.0,0.0,0,5.087399856187403,,0.24977138486982303,0.18193120044259425,0.04459359182544403,-0.40977138486982306,-0.24193120044259425,0.05540640817455598,-0.41652730107307434,-0.24186523258686066,0.05540639907121658,0.7840745608661205,0.006756238265738274,0.7773183226003822,0.9913831686386113,0.0005842524359807899,275,True,0.006756238265738274,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.0002297748433193192,official GSplatLoader.query_distance safety h value; not meters,0.8383817672729492,282,stopped_before_goal,2.2631353229707014e-05,3.2401364296674726e-05,0.0,0.0,0.0,0.0,0.0,0,5.057089992798865,,0.23566594095217497,0.20241990818941905,0.05063423919656564,-0.39566594095217505,-0.262419908189419,0.04936576080343436,-0.40225669741630554,-0.2625776529312134,0.04936577007174492,0.7840010261711613,0.006592643944058217,0.7774083822271031,0.9915910263839133,0.0008453444692781732,263,True,0.006592643944058217,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022464003995992243,official GSplatLoader.query_distance safety h value; not meters,0.8263645172119141,269,stopped_before_goal,2.12135444287917e-05,3.062430769205093e-05,0.0,0.0,0.0,0.0,0.0,0,4.645246904343367,,0.22028942170263938,0.2219727429971234,0.05642787609686539,-0.3802894217026394,-0.2819727429971234,0.04357212390313462,-0.3872772455215454,-0.2815438508987427,0.0435720719397068,0.7841053949339123,0.007000973515078005,0.7771044214188343,0.9910713871370977,0.0022415540604590763,251,False,0.007000973515078005,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,12,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022818839352112263,official GSplatLoader.query_distance safety h value; not meters,0.8238949179649353,272,stopped_before_goal,2.1073772051535986e-05,3.117830492556095e-05,0.0,0.0,0.0,0.0,0.0,0,4.7167064705863595,,0.20370374293718746,0.24051097250098794,0.05971811568323542,-0.3637037429371876,-0.3005109725009878,0.040281884316764584,-0.3622053265571594,-0.29836416244506836,0.04028179869055748,0.7842408858824762,0.0026180231227904394,0.7816228627596857,0.9966617104898268,0.002335212486516115,267,False,0.0026180231227904394,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022497869213111699,official GSplatLoader.query_distance safety h value; not meters,0.8206949234008789,263,stopped_before_goal,2.098244618440309e-05,2.8947554528713156e-05,0.0,0.0,0.0,0.0,0.0,0,4.583732289262116,,0.18597568933039582,0.25795994979375303,0.059223542941045815,-0.34597568933039585,-0.31795994979375297,0.04077645705895419,-0.3436832129955292,-0.32260531187057495,0.04077640548348427,0.7842169948283072,0.005180235185139725,0.7790367596431674,0.9933943854579765,0.005180235185139725,263,False,0.005180235185139725,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
