scene,method,total_rows,success_count,feasible_count,collision_count,collision_free_count,error_count,stopped_before_goal_count,max_steps_loose_success_count,solver_failed_count,qp_infeasible_count_sum,min_safety_h_min,min_safety_h_mean,min_safety_h_median,path_length_mean,num_steps_mean,runtime_mean_mean,runtime_p95_mean,intervention_rate_mean,control_deviation_mean_mean,control_deviation_max_max,active_constraints_mean_mean,active_constraints_p95_mean,seconds_total_sum,worst_trial,worst_min_safety_h
stonehenge,no_filter,10,0,10,10,0,0,10,0,0,0,-0.00022833772527519614,-0.00022537535114679484,-0.0002253602069686167,0.84666006565094,325.0,2.119533808199967e-05,2.953638788312673e-05,0.0,0.0,0.0,0.0,0.0,54.47883878275752,7,-0.00022833772527519614
stonehenge,safer_splat_filter,10,0,10,0,10,0,10,0,0,0,0.0005385841941460967,0.0008541817194782197,0.0008227546350099146,0.472042179107666,229.5,0.05843785662985779,0.06717321328818798,0.9430757779970408,0.052679793921064234,0.1121610532000672,438.6315581009876,779.6649999999998,173.21958114672452,6,0.0005385841941460967
