scene,method,trial,step,time,x,y,z,goal_distance,goal_progress_delta,control_deviation,min_safety_h_step,active_constraints_count,runtime_step,qp_feasible,collision_step
stonehenge,safer_splat_filter,92,194,9.7,0.0799348726868629,0.0434162355959415,0.0512043833732605,0.5227135419845581,0.0005503296852111816,0.1272549033164978,0.0003469045332167,242,0.0542744230479002,True,False
stonehenge,safer_splat_filter,92,193,9.65,0.0803755149245262,0.0428202114999294,0.0516105592250824,0.5232638716697693,0.000571906566619873,0.1272195130586624,0.0003603015502449,249,0.0572699829936027,True,False
stonehenge,safer_splat_filter,92,192,9.6,0.0808341652154922,0.0422066710889339,0.0520072951912879,0.5238357782363892,0.0005936026573181152,0.1271467357873916,0.0003744967107195,252,0.0542708374559879,True,False
stonehenge,safer_splat_filter,92,191,9.55,0.0813108086585998,0.0415745042264461,0.052393764257431,0.5244293808937073,0.0006153583526611328,0.1270283907651901,0.0003891267988365,263,0.054852545261383,True,False
stonehenge,safer_splat_filter,92,190,9.5,0.081805296242237,0.0409226082265377,0.0527690649032592,0.5250447392463684,0.0006368756294250488,0.1268549114465713,0.0004037691687699,279,0.0546785332262516,True,False
stonehenge,safer_splat_filter,92,189,9.45,0.0823172926902771,0.0402499064803123,0.0531322211027145,0.5256816148757935,0.0006582140922546387,0.1266153752803802,0.0004192437336314,290,0.054560761898756,True,False
stonehenge,safer_splat_filter,92,188,9.4,0.0828462392091751,0.0395553782582283,0.0534822195768356,0.5263398289680481,0.0006787776947021484,0.1262972056865692,0.0004356733697932,292,0.0542218275368213,True,False
stonehenge,safer_splat_filter,92,187,9.35,0.0833912715315818,0.03883808106184,0.0538180470466613,0.5270186066627502,0.0006983280181884766,0.1258864253759384,0.0004531416634563,308,0.0549613330513238,True,False
stonehenge,safer_splat_filter,92,186,9.3,0.0839511603116989,0.038097221404314,0.0541387498378753,0.5277169346809387,0.0007194280624389648,0.1256870478391647,0.0004715709656011,321,0.0554588753730058,True,False
stonehenge,safer_splat_filter,92,185,9.25,0.0845277979969978,0.0373342595994472,0.0544429942965507,0.5284363627433777,0.0007421374320983887,0.1254554688930511,0.0004825056239496,327,0.0552179887890815,True,False
stonehenge,safer_splat_filter,92,184,9.2,0.0851230695843696,0.0365508310496807,0.0547294504940509,0.5291785001754761,0.0007647275924682617,0.1251526921987533,0.0004942507948726,326,0.0554895401000976,True,False
stonehenge,safer_splat_filter,92,183,9.15,0.085736945271492,0.0357469245791435,0.0549969002604484,0.5299432277679443,0.0007864236831665039,0.1248574629426002,0.000506711192429,323,0.0547179505228996,True,False
stonehenge,safer_splat_filter,92,182,9.1,0.0863682180643081,0.0349211581051349,0.0552440322935581,0.5307296514511108,0.0008063316345214844,0.1246318221092224,0.000518643646501,327,0.0550896525382995,True,False
stonehenge,safer_splat_filter,92,181,9.05,0.0870143696665763,0.0340701974928379,0.0554691851139068,0.5315359830856323,0.0008257627487182617,0.1243164613842964,0.0005310225533321,334,0.0551017299294471,True,False
