run_label,method,rows,collision_count,collision_free_count,min_safety_h_min,min_safety_h_mean,goal_distance_reduction_ratio_mean,final_goal_distance_mean,closest_goal_distance_mean,intervention_rate_mean,control_deviation_mean_mean,active_constraints_mean_mean,runtime_mean_mean,runtime_p95_mean,qp_infeasible_count_sum,fallback_used_rate,baseline_active_constraints_count_debug_mean,risk_aware_selected_count_debug_mean,forced_low_h_count_mean,forced_near_count_mean,forced_heading_count_mean,metric,delta,baseline,risk_aware,relative_delta
trial100,risk_aware_topk_v0,100.0,0.0,100.0,0.0003172536671627,0.0008605999680003,0.3247081815273468,0.5295145601352117,0.5291062569871259,0.9238590979584118,0.0690796963554689,295.71277631192885,0.0613544295259627,0.0691396126467734,0.0,0.0,476.769826435247,291.11001335113485,0.20861148197596796,22.982777036048063,98.06208277703605,,,,,
trial100,safer_splat_filter,100.0,0.0,100.0,0.0003172545402776,0.0008604969101725,0.324696751118169,0.5295235229671028,0.5291133673398228,0.9254504193236854,0.069097154776001,505.58664953518127,0.0612575239132933,0.0695818726113066,0.0,,,,,,,,,,,
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,collision_count,0.0,0.0,0.0,
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,min_safety_h_min,-8.731148999868536e-10,0.0003172545402776,0.0003172536671627,-2.752095838322351e-06
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,goal_distance_reduction_ratio_mean,1.143040917783722e-05,0.324696751118169,0.3247081815273468,3.520333707828594e-05
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,intervention_rate_mean,-0.0015913213652736236,0.9254504193236854,0.9238590979584118,-0.0017195101239854138
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,control_deviation_mean_mean,-1.7458420532093233e-05,0.069097154776001,0.0690796963554689,-0.00025266482518259835
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,active_constraints_mean_mean,-209.87387322325242,505.58664953518127,295.71277631192885,-0.4151096027084638
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,runtime_mean_mean,9.690561266939568e-05,0.0612575239132933,0.0613544295259627,0.0015819381274137085
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,runtime_p95_mean,-0.0004422599645332037,0.0695818726113066,0.0691396126467734,-0.0063559652526704105
trial100,risk_minus_safer_splat_filter,,,,,,,,,,,,,,,,,,,,,qp_infeasible_count_sum,0.0,0.0,0.0,
