trial,method,group,collision,success,goal_distance_reduction_ratio,min_safety_h,num_steps,trajectory_length,average_speed_proxy,closest_goal_distance,final_goal_distance,has_trajectory_samples,nearest_gaussian_distance_mean,nearest_gaussian_distance_min,nearby_gaussian_count_r005,nearby_gaussian_count_r010,nearby_gaussian_count_r020,nearby_opacity_mean,nearby_max_scale_mean,nearby_anisotropy_mean,nearby_volume_proxy_mean
0,no_filter,no_filter_collision,True,False,0.9915435873732275,-0.00022564719256479293,343,0.7957420349121094,0.046398952473009285,0.0008072526454932067,0.006629827499389693,False,,,,,,,,,
1,no_filter,no_filter_collision,True,False,0.991271426034736,-0.00022498128237202764,342,0.8187958598136902,0.047882798819514044,0.00032600818752376537,0.0068439847096294125,False,,,,,,,,,
2,no_filter,no_filter_collision,True,False,0.9911965135397209,-0.00022701872512698174,340,0.8383157253265381,0.049312689725090474,0.00013563504421269473,0.006903980876069586,False,,,,,,,,,
3,no_filter,no_filter_collision,True,False,0.9912995259964675,-0.00022071685816626996,337,0.8508330583572388,0.05049454352268479,0.0003847789243776896,0.006823153411047338,False,,,,,,,,,
4,no_filter,no_filter_collision,True,False,0.9915824605832264,-0.0002250014804303646,333,0.8568291664123535,0.05146121119593714,0.0007148197182130586,0.006600041355863476,False,,,,,,,,,
5,no_filter,no_filter_collision,True,False,0.9912899499419274,-0.00022596996859647334,327,0.8604251146316528,0.052625389274107204,0.00036929905452758667,0.006828681482282185,False,,,,,,,,,
6,no_filter,no_filter_collision,True,False,0.9911540351550002,-0.00022611627355217934,320,0.8649996519088745,0.05406247824430466,2.9136934686965667e-05,0.006936098687122265,False,,,,,,,,,
7,no_filter,no_filter_collision,True,False,0.99114069692048,-0.00022833772527519614,312,0.8670913577079773,0.05558277934025495,1.0244700299589289e-05,0.006947792842799585,False,,,,,,,,,
8,no_filter,no_filter_collision,True,False,0.9912225442416723,-0.00022489078401122242,303,0.8623642921447754,0.05692173545510069,0.00020432999539905667,0.006883478988924632,False,,,,,,,,,
9,no_filter,no_filter_collision,True,False,0.9913831686386113,-0.00022507322137244046,293,0.8512043952941895,0.058102689098579484,0.0005842524359807899,0.006756238265738274,False,,,,,,,,,
