attribute,count,mean,std,min,q25,median,q75,max
mean_x,116446,-0.12959025883123196,0.9786436163449392,-4.9997358322143555,-0.3501203656196594,-0.17737270891666412,0.049825324676930904,4.999618053436279
mean_y,116446,-0.04290022248798854,0.9972254990097383,-4.999978065490723,-0.2525631710886955,-0.05684400349855423,0.1365591622889042,4.99979305267334
mean_z,116446,0.463789304932378,1.2032103189965275,-4.746945858001709,-0.004631166346371174,0.009554121643304825,0.09533706307411194,4.999784469604492
scale_x,116446,0.024501860057145934,0.0660058830724385,4.5977838203370425e-10,1.0136208175026695e-06,3.549720531736966e-05,0.0006210651044966653,0.3979940712451935
scale_y,116446,0.025872813083779273,0.06553228283026029,1.2761412371276037e-08,0.0005236392025835812,0.0012956831487827003,0.00359389407094568,0.3979940712451935
scale_z,116446,0.02561153557347815,0.06563960482391591,1.2637734414511215e-08,0.0004336626880103722,0.0010337522835470736,0.0029562251875177026,0.3979940712451935
max_scale,116446,0.026693237931033762,0.06528181998503102,5.425336439657258e-06,0.0012250873842276633,0.002225174568593502,0.004843581584282219,0.3979940712451935
min_scale,116446,0.02430464095276838,0.06605384016694985,4.5977838203370425e-10,8.367589288127419e-07,1.748438080539927e-05,0.00021765661222161725,0.3979940712451935
mean_scale,116446,0.025328736238134465,0.06570144790868594,3.541361129085393e-06,0.0005829022085587591,0.000995784450443201,0.002107488233870451,0.3979940712451935
anisotropy,116446,25027.4422093587,214344.70693205885,1.0,8.534723584100474,107.98498756991884,2235.2101065634733,22171451.76946794
volume_proxy,116446,0.0010649254315496745,0.00353128808832186,2.644014825114244e-19,5.994903880179653e-13,1.5570373654484158e-11,4.928355360938663e-10,0.06304197462653993
distance_to_scene_center,116446,1.0634303903112161,1.5063309398635416,0.35656810379154164,0.4836385116473731,0.538358818017556,0.5919011754682588,8.288789674044887
opacity,116446,0.6362844037819716,0.3300197270881008,0.08645080775022507,0.34530919045209885,0.6834975779056549,0.9932757318019867,1.0
color_or_sh_norm,116446,0.6099193968307618,0.33798107931280025,0.005541972815990448,0.31142978370189667,0.5897671282291412,0.9021813124418259,2.4416234493255615
rotation_q0,116446,0.33805130394290234,0.37639617467547487,-1.3395006656646729,0.12108145467936993,0.4014911651611328,0.5947974622249603,2.003309726715088
rotation_q1,116446,0.44973398100902423,0.38082541479091647,-1.1658120155334473,0.24768546596169472,0.5338086485862732,0.701208159327507,2.4622538089752197
rotation_q2,116446,-0.40500146511871477,0.3843732635808799,-1.962762713432312,-0.6562216132879257,-0.4630780518054962,-0.20596188679337502,0.996064305305481
rotation_q3,116446,0.513168820125691,0.3889310387539725,-1.018548846244812,0.3549770787358284,0.5940066874027252,0.7497779726982117,2.2868969440460205
