attribute,full_scene_mean,full_scene_median,active_unique_mean,active_unique_median,active_event_weighted_mean,top100_active_mean,top100_active_median
opacity,0.6362844037819716,0.6834975779056549,0.632329152105611,0.6236467957496643,0.6325953056500523,0.7328838613629342,0.7823947966098785
max_scale,0.026693237931033717,0.00222517456859345,0.003026403957825356,0.0020374907180666,0.0041459039426244345,0.003118749998975497,0.0017852985183708001
mean_scale,0.025328736238134412,0.00099578445044315,0.001248412054523113,0.0008895561254576,0.0016809004243417654,0.001347064206488622,0.0008952908619133499
anisotropy,25027.4422093587,107.98498756991884,57568.27643649723,1094.97155284224,73743.26641460301,10344.399963582917,933.920743691482
volume_proxy,0.0010649254315496682,1.5570373654484158e-11,5.781277883595844e-10,1.8899828974739746e-12,2.6639684516480124e-09,1.888513336173125e-08,1.863022696324323e-12
distance_to_scene_center,1.0634303903112161,0.538358818017556,0.5383584824694069,0.5406279943750151,0.5128133558251161,0.4755565191404189,0.48307536429958386
