gaussian_id,mean_x,mean_y,mean_z,scale_x,scale_y,scale_z,max_scale,min_scale,mean_scale,anisotropy,volume_proxy,opacity,distance_to_scene_center,color_or_sh_norm,rotation_q0,rotation_q1,rotation_q2,rotation_q3
0,-0.4028066396713257,-0.042583100497722626,0.03096039593219757,0.0003817195538431406,0.0025032840203493834,0.00020240567391738296,0.0025032840203493834,0.00020240567391738296,0.0010291364160366356,12.367657348237987,1.9340923950633267e-10,0.9999905824661255,0.3655547252812291,0.8415510654449463,0.39897051453590393,-0.2588413655757904,-1.3400895595550537,-0.1583424210548401
1,0.004442999139428139,0.5123639702796936,0.2116187959909439,0.0010779413860291243,0.002446094062179327,0.004885041154921055,0.004885041154921055,0.0010779413860291243,0.002803025534376502,4.531824474164005,1.2880612841059954e-08,0.999515175819397,0.563159199938554,0.4128745496273041,-0.2522493898868561,0.9935864806175232,-0.4684808850288391,-0.3018428087234497
2,-0.1911601424217224,-0.3488534390926361,-0.1444518268108368,0.0029065890703350306,0.0013771784724667668,0.005555520765483379,0.005555520765483379,0.0013771784724667668,0.0032797627694283924,4.033987516180436,2.22381490500609e-08,0.9359405040740967,0.40448973677810285,0.30552273988723755,-0.6531091332435608,0.31804221868515015,0.19094990193843842,0.7579372525215149
3,-0.4038696587085724,-0.03411656245589256,0.008761133998632431,0.003318549133837223,0.0006561765912920237,0.002569411415606737,0.003318549133837223,0.0006561765912920237,0.0021813790469119945,5.057402500907476,5.595032770346225e-09,0.9996845722198486,0.36723909542054045,1.2445411682128906,1.095096230506897,0.054838377982378006,-0.4947528541088104,0.03910312429070473
4,-0.40267184376716614,-0.039403870701789856,0.026759183034300804,0.0004540045338217169,0.008679226972162724,0.0011709186946973205,0.008679226972162724,0.0004540045338217169,0.003434716733560587,19.117049116454353,4.6138978549508006e-09,0.2695925533771515,0.3653383840823384,1.2924187183380127,-0.021468624472618103,-0.2910146415233612,-0.10120002925395966,-1.27883780002594
5,-0.18228280544281006,-0.3269048035144806,-0.1013949066400528,0.0020695743151009083,0.0023749282117933035,0.00093134178314358,0.0023749282117933035,0.00093134178314358,0.0017919481033459306,2.5500071561024056,4.577629082907005e-09,0.7748975157737732,0.36513957166073535,0.06595408171415329,0.48482948541641235,-0.5244385004043579,-0.032843686640262604,0.7525725960731506
6,-0.18820494413375854,-0.4076118767261505,-0.06119291111826897,0.0007601811084896326,0.0012443953892216086,0.0006917967111803591,0.0012443953892216086,0.0006917967111803591,0.0008987910696305335,1.798787662777976,6.544160752490897e-10,0.9996352195739746,0.4259526929003488,0.3855035603046417,-0.4259364902973175,0.476240336894989,0.30521440505981445,-0.6904909014701843
7,-0.38573142886161804,0.22952215373516083,-0.13898469507694244,0.0025545733515173197,0.0009994602296501398,1.1686662219290156e-05,0.0025545733515173197,1.1686662219290156e-05,0.00118857341446225,218.58878981722495,2.983832133428653e-11,0.6714450120925903,0.46338105576477717,0.8119536638259888,0.6557102799415588,-0.09722628444433212,-0.6848787665367126,-0.2951757609844208
8,0.026681145653128624,-0.406988263130188,0.09319467097520828,0.0003967062511947006,0.0006396176177076995,0.0019892817363142967,0.0019892817363142967,0.0003967062511947006,0.0010085352017388989,5.014495562707863,5.047609591162778e-10,0.9218536019325256,0.3951655904841575,0.26075559854507446,0.3135518431663513,-0.16526131331920624,0.9796922206878662,-0.23297472298145294
9,0.853800892829895,-0.36879032850265503,0.257973849773407,0.0013926131650805473,0.002866670023649931,0.0021770175080746412,0.002866670023649931,0.0013926131650805473,0.0021454335656017065,2.058482639350983,8.691007472264024e-09,0.9955698847770691,0.982300782614509,0.11791124194860458,0.3481760323047638,-0.7374625205993652,-0.18708866834640503,-0.5007740259170532
10,-0.09849473834037781,-0.36368584632873535,-0.11200162768363953,0.0020917155779898167,0.00012251167208887637,0.00016943491937126964,0.0020917155779898167,0.00012251167208887637,0.0007945540564833209,17.07360239498141,4.341932008833454e-11,0.4992382824420929,0.3781984193678214,1.1698482036590576,-0.9885493516921997,0.5736474990844727,0.18201129138469696,0.09893687069416046
11,0.2795707583427429,-0.08020170778036118,-0.013227527029812336,0.00011404543329263106,0.0009935174603015184,0.004860796965658665,0.004860796965658665,0.00011404543329263106,0.001989453286417605,42.6215835682457,5.507580892191855e-10,0.9591946601867676,0.32674991052915897,1.101279616355896,1.2634546756744385,-0.22848020493984222,-0.03493763133883476,-0.04334327206015587
12,0.22959597408771515,0.15788757801055908,-0.07504015415906906,0.0006985033978708088,0.005053489003330469,0.001400971319526434,0.005053489003330469,0.0006985033978708088,0.0023843212402425706,7.234737896386201,4.945259576532437e-09,0.9999078512191772,0.340791674614897,0.47898057103157043,0.38730084896087646,-0.3745262324810028,-0.6555495262145996,0.6359751224517822
13,-0.11846255511045456,0.11192137748003006,-0.17652584612369537,0.00036979097058065236,0.00427900068461895,0.00017760726041160524,0.00427900068461895,0.00017760726041160524,0.001608799638537069,24.092487405651976,2.810343293807438e-10,0.6825960278511047,0.2639719714430019,0.07393767684698105,-1.5872119665145874,0.04865148663520813,0.16570739448070526,0.02491995319724083
14,0.2649667263031006,0.4758840501308441,-0.07658907026052475,0.002824155380949378,0.0014829287538304925,0.00517556956037879,0.00517556956037879,0.0014829287538304925,0.003160884565052887,3.490099943783535,2.1675395142873587e-08,0.9471516609191895,0.5930591512080448,0.0081587890163064,-0.051861513406038284,-0.3523847758769989,-0.3458598256111145,0.8865058422088623
15,0.872363269329071,-0.11088699847459793,0.23532864451408386,0.003002395387738943,0.000299184990581125,0.0021188005339354277,0.003002395387738943,0.000299184990581125,0.0018067936374184985,10.03524736286807,1.9032584215552446e-09,0.7826239466667175,0.9360067271867653,0.7015084028244019,-0.005311199929565191,-1.101036787033081,0.3654695451259613,-0.05640297383069992
16,0.026626337319612503,-0.41933709383010864,-0.021947020664811134,0.0010786998318508267,0.0017703240737318993,0.005797460209578276,0.005797460209578276,0.0010786998318508267,0.002882161371720334,5.37448884147041,1.1071109921393135e-08,0.9992011189460754,0.40751888142747006,0.7496888637542725,-0.06121683120727539,0.07869715243577957,-0.00530271464958787,-1.6221200227737427
17,0.27863436937332153,-0.10473883897066116,-0.028012175112962723,0.0014719323953613639,0.0006495191482827067,0.00135806726757437,0.0014719323953613639,0.0006495191482827067,0.0011598396037394802,2.2661878395010726,1.2983778695371404e-09,0.9974965453147888,0.3337078538431527,1.0566233396530151,0.1878538429737091,0.43324363231658936,-0.9199141263961792,-0.014597400091588497
18,0.021587666124105453,-0.4196530878543854,0.1476948857307434,0.0016609234735369682,0.004134552553296089,0.0006892405799590051,0.004134552553296089,0.0006892405799590051,0.0021615722022640207,5.9987073795655,4.7331359473408265e-09,0.18983210623264313,0.4178333594065656,0.3335021734237671,-0.6063440442085266,0.6261094212532043,-0.29274845123291016,0.3274870812892914
19,0.7801710963249207,-0.42538878321647644,-0.0604231134057045,0.004583634901791811,0.006171364337205887,0.004726650658994913,0.006171364337205887,0.004583634901791811,0.005160549965997537,1.3463909036021626,1.337040952271071e-07,0.8019051551818848,0.9176188421256011,0.9417915940284729,-0.6419256925582886,0.3025655746459961,-0.7654488682746887,-0.16638505458831787
20,0.030827391892671585,-0.419420063495636,0.013679051771759987,0.0015262063825502992,0.007977216504514217,0.0011627458734437823,0.007977216504514217,0.0011627458734437823,0.0035553895868360996,6.860670664766636,1.4156290019468117e-08,0.9997835755348206,0.4047090767056166,0.4869901239871979,0.2960340678691864,-0.4950820505619049,-0.516173779964447,0.6126716136932373
21,0.8553298711776733,-0.36633461713790894,0.25359317660331726,0.0021326893474906683,0.0017937630182132125,0.003248663153499365,0.003248663153499365,0.0017937630182132125,0.0023917051730677485,1.8110882655699942,1.2427888504013923e-08,0.4936603307723999,0.9818469990068699,0.614901065826416,-0.7315333485603333,-0.5667825937271118,0.4850656986236572,-0.3179519772529602
22,0.3833848237991333,-0.4055679142475128,0.2694360613822937,0.005404216703027487,0.008286639116704464,0.01490001194179058,0.01490001194179058,0.005404216703027487,0.009530289253840843,2.7571085248012857,6.672641583309245e-07,0.28198519349098206,0.6159276419170925,0.3526504933834076,-0.9553754925727844,-0.16731321811676025,-0.402706116437912,0.42964595556259155
23,-0.2691062092781067,1.2882013320922852,0.09281879663467407,0.00486883707344532,0.005167902447283268,0.0005414505139924586,0.005167902447283268,0.0005414505139924586,0.0035260633449070156,9.54455174338471,1.3623801876432818e-08,0.9702680706977844,1.3308939262008468,0.29753342270851135,-0.6495499014854431,-0.266018271446228,-0.6467286944389343,-0.375524640083313
24,0.22225584089756012,0.0023462625686079264,-0.09353864938020706,0.0002963543520309031,2.4940178263932467e-05,0.001637810724787414,0.001637810724787414,2.4940178263932467e-05,0.0006530350850274166,65.66956769334537,1.2105272586556671e-11,0.6158360242843628,0.29190015235523026,0.19836264848709106,-0.6382156610488892,-0.33768725395202637,-0.6364595293998718,0.37147271633148193
25,0.21588614583015442,0.01596577651798725,-0.01350143551826477,1.9358300050953403e-05,0.002014231402426958,0.0009060350712388754,0.002014231402426958,1.9358300050953403e-05,0.0009798749245722622,104.05001457386525,3.532820635047992e-11,0.9570948481559753,0.2613831423624507,0.45887306332588196,0.6304028034210205,0.7611732482910156,0.2140781283378601,0.16414745151996613
