group,method,rows,goal_distance_reduction_ratio_mean,goal_distance_reduction_ratio_min,goal_distance_reduction_ratio_max,min_safety_h_mean,sampled_trajectory_rows
no_filter_collision,no_filter,99,0.9915012752510739,0.9909909202828869,0.9966617104898268,-0.0002216544579079544,0
other,no_filter,1,0.9915562153331426,0.9915562153331426,0.9915562153331426,0.0005809700815007091,0
other,safer_splat_filter,50,0.21289725266244916,0.061749599712211015,0.6198917275307926,0.0008148439216893167,0
safer_collision_free_higher_progress,safer_splat_filter,25,0.8346539908285728,0.637979278427817,0.9916962674943557,0.0007474718440789729,1
safer_collision_free_low_progress,safer_splat_filter,25,0.03833850831920476,0.0023282493909023393,0.061704922724421046,0.0010648279532324524,0
