scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_v1_pre_cbf,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511256892234087,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.14498873355662784,0.14498873355662784,325,325,0.037771921599140536,0.043168630823493,0.9046153846153846,0.025066751628065497,0.07492420077323914,249.28,492.40000000000003,0,17.869166946038604,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069270988926291,official GSplatLoader.query_distance safety h value; not meters,0.19687965975830446,0.7840896733951637,0.6297183652771238,0.6297183652771238,114,114,0.038473407411130894,0.04207282327115536,0.9824561403508771,0.0670824605448727,0.10606211423873901,412.32456140350877,721.0,0,6.343896085396409,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013136954512447119,official GSplatLoader.query_distance safety h value; not meters,0.19347976814311968,0.7842325773112758,0.632499440082809,0.632499440082809,104,104,0.03898014882221245,0.04776495136320591,0.9903846153846154,0.06545805094123391,0.08727268874645233,431.5769230769231,771.0999999999997,0,5.8611763790249825,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000800861744210124,official GSplatLoader.query_distance safety h value; not meters,0.2279667455674006,0.7842277798056816,0.6054499250598323,0.6054499250598323,123,123,0.03999097998125282,0.048410109058022496,0.991869918699187,0.06581279616878648,0.08786012977361679,488.8211382113821,849.1999999999996,0,7.088047347962856,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008385828696191311,official GSplatLoader.query_distance safety h value; not meters,0.8193102780640665,0.784082025527739,0.1416755631675707,0.1416755631675707,357,357,0.038848758719506715,0.04316586740314961,0.9523809523809523,0.03923597131055923,0.07863815873861313,325.6330532212885,667.5999999999999,0,20.04633179306984,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147327996790409,official GSplatLoader.query_distance safety h value; not meters,0.29146818562437143,0.7840002568014284,0.5554891244224748,0.5554891244224748,170,170,0.042111140599145606,0.04749087933450937,0.9588235294117647,0.06462926773860088,0.09789280593395233,587.9058823529411,831.0999999999999,0,10.070356830954552,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385848926380277,official GSplatLoader.query_distance safety h value; not meters,0.570391811179748,0.7840974736682284,0.33685469552114283,0.33685469552114283,243,243,0.03800891194139979,0.041391860507428636,0.9218106995884774,0.05751891371922365,0.11216104030609131,353.86008230452677,573.7999999999997,0,13.281483268365264,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00087421212811023,official GSplatLoader.query_distance safety h value; not meters,0.591235528501809,0.7842369518727405,0.32056820316161294,0.32056820316161294,225,225,0.037831754957636195,0.041251872852444645,0.8933333333333333,0.04755968226596647,0.0873895138502121,340.9377777777778,495.59999999999997,0,12.26755965873599,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320524262264371,official GSplatLoader.query_distance safety h value; not meters,0.8225472634138692,0.7842225786662452,0.13916244267695746,0.13916244267695746,331,331,0.03839107991682979,0.040742586366832256,0.9244712990936556,0.04766105588844286,0.08338261395692825,337.9335347432024,548.0,0,18.26746067404747,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710200924426317,official GSplatLoader.query_distance safety h value; not meters,0.7953131480714464,0.7840745608661205,0.16048975354094933,0.16048975354094933,303,303,0.038693103779463875,0.04140162467956543,0.9075907590759076,0.04677324027549006,0.09014108777046204,376.93399339933995,618.0999999999998,0,16.82218772545457,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090666236355901,official GSplatLoader.query_distance safety h value; not meters,0.6669694600218258,0.7840010261711613,0.2610962850892245,0.2610962850892245,264,264,0.03997088011325986,0.04282001722604036,0.9772727272727273,0.06885046446621394,0.11730291694402695,403.094696969697,630.5,0,14.99383714236319,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
