scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_topk_v0,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653529295269,0.784,0.14498876330325094,0.14498876330325094,325,325,0.06067535540232292,0.06965033188462258,0.9046153846153846,0.025066763376124707,0.07492411136627197,271.88,300.0,0,25.37533096037805,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069268660619855,official GSplatLoader.query_distance safety h value; not meters,0.19687965976977584,0.7840896733951637,0.6297183652681292,0.6297183652681292,114,114,0.05807212924813492,0.06856888020411134,0.9824561403508771,0.06708246889759226,0.1060621589422226,265.4824561403509,300.0,0,8.63878028653562,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013136954512447119,official GSplatLoader.query_distance safety h value; not meters,0.19347976814361983,0.7842325773112758,0.6324994400824168,0.6324994400824168,104,104,0.059125013971844546,0.0694164888933301,0.9903846153846154,0.06545805519607921,0.08727269619703293,295.7980769230769,300.0,0,8.002266086637974,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008611621335149,official GSplatLoader.query_distance safety h value; not meters,0.22796676456527076,0.7842277798056816,0.6054499101611748,0.6054499101611748,123,123,0.05958085852425273,0.06914061866700649,0.991869918699187,0.06581279959120764,0.0878601148724556,316.0487804878049,423.69999999999965,0,9.475331950932741,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008385832188650966,official GSplatLoader.query_distance safety h value; not meters,0.8193102408257446,0.784082025527739,0.14167559236546956,0.14167559236546956,357,357,0.05978309678785106,0.06769953705370425,0.9523809523809523,0.03923601711045081,0.07863833755254745,261.7422969187675,300.0,0,27.50957165285945,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147258147597313,official GSplatLoader.query_distance safety h value; not meters,0.2914676794410977,0.7840002568014284,0.5554895212702914,0.5554895212702914,170,170,0.06038943684714682,0.06590752359479665,0.9588235294117647,0.06462919175761417,0.09789317846298218,301.1058823529412,300.0,0,13.175102777779102,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385841941460967,official GSplatLoader.query_distance safety h value; not meters,0.5703917731442243,0.7840974736682284,0.3368547253447009,0.3368547253447009,243,243,0.058655829509957826,0.06564767006784675,0.9218106995884774,0.05751892878638589,0.11216099560260773,278.77366255144034,300.0,0,18.34007844887674,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742103818804026,official GSplatLoader.query_distance safety h value; not meters,0.5912355490192335,0.7842369518727405,0.3205681870710906,0.3205681870710906,225,225,0.05814195176793469,0.06533211506903171,0.8933333333333333,0.04755965978730649,0.0873895213007927,285.0,300.0,0,16.89011633209884,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320530083030462,official GSplatLoader.query_distance safety h value; not meters,0.8225472634165214,0.7842225786662452,0.13916244267487748,0.13916244267487748,331,331,0.057570381332020026,0.06539737340062857,0.9274924471299094,0.047661065498746984,0.08338261395692825,281.1691842900302,300.0,0,24.61741516366601,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710342951118946,official GSplatLoader.query_distance safety h value; not meters,0.7953131477692318,0.7840745608661205,0.1604897537779081,0.1604897537779081,303,303,0.05915231718113123,0.06836651172488928,0.9075907590759076,0.04677318651171094,0.09014107286930084,292.87458745874585,300.0,0,23.028328847140074,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090702325105667,official GSplatLoader.query_distance safety h value; not meters,0.6669697127637195,0.7840010261711613,0.26109608693932046,0.26109608693932046,264,264,0.060475497732334065,0.0672930246219039,0.9772727272727273,0.06885046974172937,0.11730294674634933,297.1363636363636,300.0,0,20.45867770910263,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
