scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
flight,no_filter,0,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009112062980420887,official GSplatLoader.query_distance safety h value; not meters,0.9874089092289636,0.545,0.006862144470214843,0.0002746614813808996,229,247,2.305105569874227e-05,3.86640429496765e-05,0.0,0.0,0.0,0.0,0.0,0,4.414432583376765,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,1,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009000907302834094,official GSplatLoader.query_distance safety h value; not meters,0.9879787165909663,0.5496245748669145,0.0066071927830449,0.0007369602015750728,228,247,2.5175466590564744e-05,3.875233232975004e-05,0.0,0.0,0.0,0.0,0.0,0,4.405725661665201,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,2,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0008999554556794465,official GSplatLoader.query_distance safety h value; not meters,0.9874384897509318,0.5569160362085966,0.006995706496704713,0.00016923298918107509,227,245,2.537429028627824e-05,4.074946045875549e-05,0.0,0.0,0.0,0.0,0.0,0,4.392060095444322,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,0,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0006012368248775601,official GSplatLoader.query_distance safety h value; not meters,0.2570814867596179,0.545,0.4048905897160083,0.4048905897160083,93,93,0.11992747136341628,0.13037174753844735,0.7204301075268817,0.043207878716945425,0.09521715342998505,197.49462365591398,222.0,0,12.865582924336195,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,1,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0012490706285461783,official GSplatLoader.query_distance safety h value; not meters,0.27126982233866404,0.5496245748669145,0.4005280140898029,0.4005280140898029,88,88,0.11504850056107072,0.12472568461671471,0.75,0.03520794990429518,0.07789738476276398,172.14772727272728,211.0,0,11.73471680469811,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,2,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007776990532875061,official GSplatLoader.query_distance safety h value; not meters,0.2910223780290951,0.5569160362085966,0.3948410069886332,0.3948410069886332,99,99,0.11754040961915796,0.1301302883774042,0.7777777777777778,0.04307673417453972,0.09201717376708984,172.53535353535352,220.1,0,13.48634710535407,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,0,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0006012364756315947,official GSplatLoader.query_distance safety h value; not meters,0.2570814872028958,0.545,0.4048905894744218,0.4048905894744218,93,93,0.06381336184999635,0.06869529597461224,0.7204301075268817,0.04320787343821571,0.09521712362766266,211.6236559139785,266.79999999999995,0,7.630781160667539,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,1,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0011846680426970124,official GSplatLoader.query_distance safety h value; not meters,0.273394289067064,0.5496245748669145,0.39936035496738714,0.39936035496738714,86,86,0.05859585366276807,0.06357603427022696,0.5581395348837209,0.03134355565884668,0.07881366461515427,130.22093023255815,175.25,0,6.643144097179174,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,risk_aware_v1_pre_cbf,2,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007649329490959644,official GSplatLoader.query_distance safety h value; not meters,0.2917375775508811,0.5569160362085966,0.39444270090586186,0.39444270090586186,98,98,0.06045927901809313,0.06496504629030823,0.7755102040816326,0.04241161789235137,0.09273837506771088,125.6734693877551,182.0,0,7.74443500302732,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
