scene,trial,step,candidate_budget,candidate_count_total,candidate_count_forced_near,candidate_count_forced_heading,candidate_count_risk_ranked,candidate_count_final,fallback_used,v1_insertion_level,near_distance_threshold,heading_distance_threshold,heading_cos_threshold,risk_score_name,fallback_reason,min_safety_h_step,runtime_step,control_deviation,active_constraints_count
flight,0,50,2000,281756,0,25037,0,25041,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.003978729248046875,0.06618902459740639,0.05342321842908859,245
flight,0,51,2000,281756,0,24896,0,24900,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.003794441930949688,0.0659908838570118,0.05458923056721687,232
flight,0,52,2000,281756,0,24738,0,24742,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.003618938382714987,0.06258977390825748,0.05572706460952759,213
flight,0,53,2000,281756,0,24600,0,24604,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0034518036991357803,0.06476557813584805,0.05683797597885132,213
flight,0,54,2000,281756,0,24462,0,24466,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0032926425337791443,0.06299541145563126,0.05792289972305298,204
flight,0,55,2000,281756,0,24233,0,24237,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0031410795636475086,0.06344572827219963,0.05898233503103256,188
flight,0,56,2000,281756,0,24130,0,24134,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0029967520385980606,0.06420709937810898,0.06001652032136917,181
flight,0,57,2000,281756,0,24079,0,24083,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0028593186289072037,0.06286118924617767,0.06102577969431877,181
flight,0,58,2000,281756,0,24042,0,24046,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0027284533716738224,0.06420586444437504,0.06200999766588211,208
flight,0,59,2000,281756,0,23997,0,24001,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.00260384613648057,0.06377515569329262,0.06296887993812561,212
flight,0,60,2000,281756,0,23933,0,23937,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0024852012284100056,0.0655278917402029,0.06390206515789032,208
flight,0,61,2000,281756,0,23860,0,23864,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.002372240647673607,0.06519460678100586,0.0648091658949852,206
flight,0,62,2000,281756,0,23792,0,23796,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.002264697104692459,0.0645839311182499,0.06568948924541473,207
flight,0,63,2000,281756,0,23704,0,23708,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0021623168140649796,0.06344431452453136,0.06654243916273117,203
flight,0,64,2000,281756,0,23597,0,23601,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0020648613572120667,0.06366635300219059,0.06736699491739273,201
flight,0,65,2000,281756,0,23511,0,23515,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.001972104422748089,0.06334672309458256,0.06816216558218002,199
flight,0,66,2000,281756,0,23378,0,23382,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0018838293617591262,0.06283778510987759,0.06892672181129456,204
flight,0,67,2000,281756,0,23201,0,23205,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0017998331459239125,0.06289791129529476,0.06965914368629456,205
flight,0,68,2000,281756,0,23001,0,23006,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0017199240392073989,0.06274531409144402,0.07035769522190094,201
flight,0,69,2000,281756,0,22874,0,22879,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0016439160099253058,0.06231885217130184,0.07102042436599731,199
flight,0,70,2000,281756,0,22766,0,22772,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0015716393245384097,0.06264219805598259,0.07164493203163147,197
flight,0,71,2000,281756,0,22675,0,22681,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.00150292890612036,0.06339338608086109,0.07222852855920792,196
flight,0,72,2000,281756,12,22602,0,22609,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0014376324834302068,0.0629064291715622,0.07276792824268341,202
flight,0,73,2000,281756,16,22506,0,22513,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.001375602907501161,0.06364263407886028,0.0732593685388565,198
flight,0,74,2000,281756,20,22426,0,22433,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0013167051365599036,0.06299903802573681,0.07369863986968994,196
flight,0,75,2000,281756,22,22345,0,22352,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0012608104152604938,0.062446918338537216,0.074080690741539,192
flight,0,76,2000,281756,25,22255,0,22262,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0012077979044988751,0.06302224472165108,0.07439989596605301,193
flight,0,77,2000,281756,28,22183,0,22191,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0011575528187677264,0.0621063020080328,0.07497186958789825,185
flight,0,78,2000,281756,40,22143,0,22151,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0011099035618826747,0.0626870971173048,0.0760231465101242,177
flight,0,79,2000,281756,52,22133,0,22141,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0010646654991433024,0.06259871833026409,0.07733874022960663,172
flight,0,80,2000,281756,63,22122,0,22130,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0010216532973572612,0.06302113272249699,0.07886701077222824,170
flight,0,81,2000,281756,75,22153,0,22162,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0009806667221710086,0.06132231652736664,0.08050760626792908,165
flight,0,82,2000,281756,91,22182,0,22191,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.000941532664000988,0.06082669645547867,0.08215151727199554,161
flight,0,83,2000,281756,113,22227,0,22236,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0009040982695296407,0.061184968799352646,0.08375418186187744,155
flight,0,84,2000,281756,132,22298,0,22307,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0008682258194312453,0.060929106548428535,0.08528845012187958,165
flight,0,85,2000,281756,144,22376,0,22385,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0008337977342307568,0.06257003173232079,0.08673863857984543,163
flight,0,86,2000,281756,162,22482,0,22490,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0008007086580619216,0.06113918498158455,0.08811283856630325,161
flight,0,87,2000,281756,177,22588,0,22596,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0007688844343647361,0.061719516292214394,0.08962271362543106,168
flight,0,88,2000,281756,195,22664,0,22670,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0007382517214864492,0.061534514650702477,0.0909959152340889,170
flight,0,89,2000,281756,227,22744,0,22750,False,partial_pre_cbf,0.05,0.25,0.5,risk_v2_hybrid,,0.0007088320562615991,0.06220153532922268,0.09211017936468124,168
