ablation_id,candidate_budget,near_distance_threshold,heading_distance_threshold,heading_cos_threshold,risk_score,rows,collision_count,collision_free_count,min_safety_h_min,min_safety_h_mean,progress_mean,intervention_rate_mean,control_deviation_mean,active_constraints_mean,runtime_mean,runtime_p95,qp_infeasible_count,fallback_used_rate,candidate_count_final_mean,candidate_count_final_p95,candidate_count_final_min,candidate_count_final_max,output_dir
A_budget1000_near008_hybrid,1000,0.08,0.25,0.5,risk_v2_hybrid,20,0,20,0.0003336716035846621,0.0007634025416336954,0.5711988556254204,0.9073863079363672,0.0593123477909354,294.70221539059514,0.03699288533641017,0.04064978196751327,0,0.0,10154.783407347599,17693.199999999993,1030.0,25347.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/A_budget1000_near008_hybrid
B_budget2000_near008_hybrid,2000,0.08,0.25,0.5,risk_v2_hybrid,20,0,20,0.00033367317519150674,0.0007634096080437302,0.5712284434302061,0.909009444480756,0.059324014447396586,296.31079123650454,0.03689062216977829,0.04080505588091911,0,0.0,10215.546316851665,17746.0,2000.0,25421.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/B_budget2000_near008_hybrid
C_budget5000_near008_hybrid,5000,0.08,0.25,0.5,risk_v2_hybrid,20,0,20,0.0003336713125463575,0.0007634106674231589,0.5712086136291822,0.909195819775291,0.05932952847572941,302.27853647521584,0.037340378256749164,0.04119884396903217,0,0.0,10385.447628657921,17884.100000000002,5000.0,25619.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/C_budget5000_near008_hybrid
D_budget2000_near005_hybrid,2000,0.05,0.25,0.5,risk_v2_hybrid,20,0,20,0.00033367154537700117,0.0007634574838448315,0.571140785810244,0.9049045488066112,0.05930314238665938,176.0924921781824,0.034781401518130556,0.03878582338336855,0,0.0,9443.668214862682,17006.25,2000.0,24634.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/D_budget2000_near005_hybrid
E_budget2000_near012_hybrid,2000,0.12,0.25,0.5,risk_v2_hybrid,20,0,20,0.00033367096330039203,0.0007631133310496807,0.5711932212279536,0.9111354771095204,0.05933766929005816,424.45874139825327,0.039562822923552725,0.04396540828049183,0,0.0,12495.281130171545,19633.300000000003,4101.0,28056.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/E_budget2000_near012_hybrid
F_budget2000_near008_activefreq,2000,0.08,0.25,0.5,risk_v0_active_frequency,20,0,20,0.00033367317519150674,0.0007634096080437302,0.5712284434302061,0.909009444480756,0.05932401444704175,296.30981800049483,0.035476582109821894,0.03924707359168679,0,0.0,10215.546316851665,17746.0,2000.0,25421.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/F_budget2000_near008_activefreq
G_budget2000_near008_geometry,2000,0.08,0.25,0.5,risk_v1_geometry,20,0,20,0.00033367317519150674,0.0007634096080437302,0.5712284434302061,0.909009444480756,0.05932401444750522,296.31723892506903,0.036357946339154054,0.04017464231699704,0,0.0,10215.546316851665,17746.0,2000.0,25421.0,work/risk_aware_cbf/results/risk_aware_v1_ablation_stonehenge_20/G_budget2000_near008_geometry
