scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_v1_pre_cbf,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008556938264518976,official GSplatLoader.query_distance safety h value; not meters,0.8142474320186289,0.784,0.14563001329739494,0.14563001329739494,324,324,0.03486525423157914,0.0418578921817243,0.8950617283950617,0.02487224271927408,0.07440180331468582,137.54320987654322,200.0,0,16.880369517952204,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008075266378000379,official GSplatLoader.query_distance safety h value; not meters,0.19688921510757249,0.7840896733951637,0.629710873026437,0.629710873026437,114,114,0.03323217345761102,0.03529676683247089,0.9824561403508771,0.06709359736871957,0.10606209188699722,139.47368421052633,323.44999999999993,0,5.747207593172789,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001313692657276988,official GSplatLoader.query_distance safety h value; not meters,0.19347971090773342,0.7842325773112758,0.6324994849686635,0.6324994849686635,104,104,0.03378533648971755,0.03890775525942445,0.9903846153846154,0.06545803489017105,0.08727267384529114,178.59615384615384,501.74999999999966,0,5.279659725725651,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008016332285478711,official GSplatLoader.query_distance safety h value; not meters,0.2280182873116921,0.7842277798056816,0.6054095045921393,0.6054095045921393,123,123,0.0338862858773247,0.03880544397979974,0.991869918699187,0.06581120585341738,0.08796009421348572,206.77235772357724,627.3999999999995,0,6.24790926091373,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008377970661967993,official GSplatLoader.query_distance safety h value; not meters,0.8190511283941361,0.784082025527739,0.14187875776568465,0.14187875776568465,356,356,0.0349457499864145,0.0385987781919539,0.9129213483146067,0.039011654721311816,0.0786382257938385,150.1629213483146,276.75,0,18.52829726599157,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147225551307201,official GSplatLoader.query_distance safety h value; not meters,0.29146731759219907,0.7840002568014284,0.5554898049599208,0.5554898049599208,170,170,0.03386110637117835,0.03653498375788331,0.9588235294117647,0.06462918244059139,0.09789328277111053,170.54705882352943,347.89999999999935,0,8.626203088089824,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385836120694876,official GSplatLoader.query_distance safety h value; not meters,0.5703960625717569,0.7840974736682284,0.33685136201540905,0.33685136201540905,243,243,0.03474278899039997,0.03740237914025783,0.9218106995884774,0.05751681658379608,0.1121610552072525,153.3045267489712,301.9,0,12.587438056245446,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00086931511759758,official GSplatLoader.query_distance safety h value; not meters,0.5913373987176198,0.7842369518727405,0.3204883127740789,0.3204883127740789,225,225,0.033960497023330795,0.03641004078090191,0.8933333333333333,0.047544337223699586,0.08737987279891968,158.37333333333333,286.0,0,11.339378351345658,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320516113191843,official GSplatLoader.query_distance safety h value; not meters,0.8225472645035431,0.7842225786662452,0.1391624418224106,0.1391624418224106,331,331,0.03463889509889655,0.036696355789899826,0.9274924471299094,0.04766107176231643,0.08338256925344467,147.6978851963746,245.0,0,16.924509016796947,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710517574101686,official GSplatLoader.query_distance safety h value; not meters,0.7954036682389426,0.7840745608661205,0.16041877898037016,0.16041877898037016,303,303,0.03434102791714983,0.0366444893181324,0.9075907590759076,0.04676314640424806,0.09014101326465607,149.11881188118812,247.89999999999998,0,15.374671295285225,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090670892968774,official GSplatLoader.query_distance safety h value; not meters,0.6669694943708506,0.7840010261711613,0.2610962581595539,0.2610962581595539,264,264,0.035519042828430734,0.03904076386243105,0.9772727272727273,0.06885046991145582,0.11730290204286575,183.08333333333334,369.4,0,13.900483027100563,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
