method,trial,step,time_s,x,y,z,vx,vy,vz,signed_clearance_m,active_pool_size
no_filter,53,0,0.0,-0.07580461353063583,-0.050034619867801666,0.02774571068584919,0.0,0.0,0.0,0.27281898260116577,96
no_filter,53,1,0.05,-0.07580461353063583,-0.050034619867801666,0.02774571068584919,0.006000000052154064,0.006000000052154064,-0.006000000052154064,0.27281898260116577,96
no_filter,53,2,0.1,-0.0755046159029007,-0.04973461851477623,0.027445711195468903,0.012000000104308128,0.012000000104308128,-0.012000000104308128,0.27244246006011963,96
no_filter,53,3,0.15000000000000002,-0.07490461319684982,-0.049134619534015656,0.02684571035206318,0.017999999225139618,0.017999999225139618,-0.017999999225139618,0.27169069647789,96
no_filter,53,4,0.2,-0.07400461286306381,-0.048234619200229645,0.02594571001827717,0.024000000208616257,0.024000000208616257,-0.024000000208616257,0.2705663740634918,96
no_filter,53,5,0.25,-0.07280461490154266,-0.0470346175134182,0.02474571019411087,0.029760001227259636,0.029760001227259636,-0.029760001227259636,0.2690735459327698,96
no_filter,53,6,0.30000000000000004,-0.07131661474704742,-0.04554661735892296,0.02325771003961563,0.035174399614334106,0.035174399614334106,-0.035174399614334106,0.2672325074672699,96
no_filter,53,7,0.35000000000000003,-0.06955789774656296,-0.04378789663314819,0.021498989313840866,0.040263935923576355,0.040263935923576355,-0.040263935923576355,0.26507118344306946,96
no_filter,53,8,0.4,-0.06754469871520996,-0.041774701327085495,0.01948579214513302,0.045048099011182785,0.045048099011182785,-0.045048099011182785,0.2626171112060547,96
no_filter,53,9,0.45,-0.06529229134321213,-0.03952229768037796,0.017233386635780334,0.04954521358013153,0.04954521358013153,-0.04954521358013153,0.259897381067276,96
no_filter,53,10,0.5,-0.06281503289937973,-0.037045035511255264,0.014756126329302788,0.05377250164747238,0.05377250164747238,-0.05377250164747238,0.25686773657798767,96
no_filter,53,11,0.55,-0.0601264089345932,-0.034356411546468735,0.012067501433193684,0.057746149599552155,0.057746149599552155,-0.057746149599552155,0.2535623610019684,96
no_filter,53,12,0.6000000000000001,-0.0572391003370285,-0.03146910294890404,0.009180193766951561,0.061481378972530365,0.061481378972530365,-0.061481378972530365,0.2500568926334381,96
no_filter,53,13,0.65,-0.054165031760931015,-0.02839503437280655,0.006106124725192785,0.0649924948811531,0.0649924948811531,-0.0649924948811531,0.24637679755687714,96
no_filter,53,14,0.7000000000000001,-0.05091540515422821,-0.025145409628748894,0.00285649998113513,0.06829294562339783,0.06829294562339783,-0.06829294562339783,0.2424495965242386,96
no_filter,53,15,0.75,-0.04750075936317444,-0.021730761975049973,-0.0005581474397331476,0.07139536738395691,0.07139536738395691,-0.07139536738395691,0.2382366806268692,96
no_filter,53,16,0.8,-0.04393099248409271,-0.018160993233323097,-0.004127915948629379,0.07431164383888245,0.07431164383888245,-0.07431164383888245,0.23390473425388336,96
no_filter,53,17,0.8500000000000001,-0.04021541029214859,-0.014445411041378975,-0.007843498140573502,0.07705294340848923,0.07705294340848923,-0.07705294340848923,0.22947853803634644,96
no_filter,53,18,0.9,-0.03636276349425316,-0.010592764243483543,-0.011696144938468933,0.07962976396083832,0.07962976396083832,-0.07951362431049347,0.2249828428030014,96
no_filter,53,19,0.9500000000000001,-0.03238127380609512,-0.00661127595230937,-0.015671826899051666,0.08205197751522064,0.08205197751522064,-0.08101507276296616,0.22044256329536438,96
no_filter,53,20,1.0,-0.02827867493033409,-0.002508677076548338,-0.019722580909729004,0.08432886004447937,0.08432886004447937,-0.08163874596357346,0.21588090062141418,96
no_filter,53,21,1.05,-0.024062231183052063,0.001707766205072403,-0.023804519325494766,0.0864691287279129,0.0864691287279129,-0.08146592229604721,0.21131868660449982,96
no_filter,53,22,1.1,-0.019738774746656418,0.006031222641468048,-0.027877815067768097,0.08848097920417786,0.08848097920417786,-0.08057701587677002,0.20653648674488068,96
no_filter,53,23,1.1500000000000001,-0.015314726158976555,0.010455271229147911,-0.03190666437149048,0.09037212282419205,0.09037212282419205,-0.07905092090368271,0.2015666365623474,96
no_filter,53,24,1.2000000000000002,-0.010796120390295982,0.014973876997828484,-0.03585921227931976,0.09214979410171509,0.0913362205028534,-0.07696445286273956,0.19661244750022888,96
no_filter,53,25,1.25,-0.0061886305920779705,0.019540688022971153,-0.03970743343234062,0.09382080286741257,0.09138284623622894,-0.07439186424016953,0.191680446267128,96
no_filter,53,26,1.3,-0.0014975904487073421,0.02410983107984066,-0.04342702776193619,0.09539155662059784,0.09060240536928177,-0.07140443474054337,0.18651093542575836,96
no_filter,53,27,1.35,0.003271987661719322,0.02863995172083378,-0.046997249126434326,0.09686806052923203,0.08908380568027496,-0.06807012110948563,0.18128730356693268,96
no_filter,53,28,1.4000000000000001,0.008115390315651894,0.0330941416323185,-0.0504007562994957,0.09825597703456879,0.08691379427909851,-0.06445327401161194,0.176043301820755,96
no_filter,53,29,1.4500000000000002,0.013028189539909363,0.03743983060121536,-0.053623419255018234,0.09956061840057373,0.08417639136314392,-0.060614410787820816,0.17085255682468414,96
