method,trial,step,time_s,x,y,z,vx,vy,vz,signed_clearance_m,active_pool_size
safer_splat_filter,53,0,0.0,-0.07580461353063583,-0.050034619867801666,0.02774571068584919,0.0,0.0,0.0,0.27281898260116577,96
safer_splat_filter,53,1,0.05,-0.07580461353063583,-0.050034619867801666,0.02774571068584919,0.006000000052154064,0.006000000052154064,-0.006000000052154064,0.27281898260116577,96
safer_splat_filter,53,2,0.1,-0.0755046159029007,-0.04973461851477623,0.027445711195468903,0.012000000104308128,0.012000000104308128,-0.012000000104308128,0.27244246006011963,96
safer_splat_filter,53,3,0.15000000000000002,-0.07490461319684982,-0.049134619534015656,0.02684571035206318,0.017999999225139618,0.017999999225139618,-0.017999999225139618,0.27169069647789,96
safer_splat_filter,53,4,0.2,-0.07400461286306381,-0.048234619200229645,0.02594571001827717,0.023999998345971107,0.023999998345971107,-0.024000000208616257,0.2705663740634918,96
safer_splat_filter,53,5,0.25,-0.07280461490154266,-0.0470346175134182,0.02474571019411087,0.029759997501969337,0.029759999364614487,-0.029760001227259636,0.2690735459327698,96
safer_splat_filter,53,6,0.30000000000000004,-0.07131661474704742,-0.04554661735892296,0.02325771003961563,0.03517439588904381,0.035174399614334106,-0.035174399614334106,0.2672325074672699,96
safer_splat_filter,53,7,0.35000000000000003,-0.06955789774656296,-0.04378789663314819,0.021498989313840866,0.040263932198286057,0.040263935923576355,-0.040263935923576355,0.26507118344306946,96
safer_splat_filter,53,8,0.4,-0.06754469871520996,-0.041774701327085495,0.01948579214513302,0.04504809528589249,0.045048099011182785,-0.045048099011182785,0.2626171112060547,96
safer_splat_filter,53,9,0.45,-0.06529229134321213,-0.03952229768037796,0.017233386635780334,0.049545206129550934,0.04954521358013153,-0.04954521358013153,0.259897381067276,96
safer_splat_filter,53,10,0.5,-0.06281503289937973,-0.037045035511255264,0.014756126329302788,0.053772490471601486,0.05377250164747238,-0.05377250164747238,0.25686773657798767,96
safer_splat_filter,53,11,0.55,-0.0601264089345932,-0.034356411546468735,0.012067501433193684,0.05774614214897156,0.057746149599552155,-0.057746149599552155,0.2535623610019684,96
safer_splat_filter,53,12,0.6000000000000001,-0.0572391003370285,-0.03146910294890404,0.009180193766951561,0.061481375247240067,0.061481378972530365,-0.061481378972530365,0.2500568926334381,96
safer_splat_filter,53,13,0.65,-0.054165031760931015,-0.02839503437280655,0.006106124725192785,0.0649924948811531,0.0649924948811531,-0.0649924948811531,0.24637679755687714,96
safer_splat_filter,53,14,0.7000000000000001,-0.05091540515422821,-0.025145409628748894,0.00285649998113513,0.06829294562339783,0.06829294562339783,-0.06829294562339783,0.2424495965242386,96
safer_splat_filter,53,15,0.75,-0.04750075936317444,-0.021730761975049973,-0.0005581474397331476,0.07139536738395691,0.07139536738395691,-0.07139536738395691,0.2382366806268692,96
safer_splat_filter,53,16,0.8,-0.04393099248409271,-0.018160993233323097,-0.004127915948629379,0.07431164383888245,0.07431164383888245,-0.07431164383888245,0.23390473425388336,96
safer_splat_filter,53,17,0.8500000000000001,-0.04021541029214859,-0.014445411041378975,-0.007843498140573502,0.07705294340848923,0.07705294340848923,-0.07705294340848923,0.22947853803634644,96
safer_splat_filter,53,18,0.9,-0.03636276349425316,-0.010592764243483543,-0.011696144938468933,0.07962976396083832,0.07962976396083832,-0.07951362431049347,0.2249828428030014,96
