scene,method,rows,success_count,collision_count,collision_free_count,stopped_before_goal_count,solver_failed_count,min_safety_h_min,min_safety_h_mean,goal_distance_reduction_ratio_mean,final_goal_distance_mean,closest_goal_distance_mean,num_steps_mean,runtime_mean_mean,runtime_p95_mean,intervention_rate_mean,control_deviation_mean_mean,active_constraints_mean_mean,qp_infeasible_count_sum
stonehenge,no_filter,3,0,3,0,3,0,-0.00022701872512698174,-0.00022588240002126744,0.9913371756492282,0.0067925976950295635,0.00042296529240988897,341.6666666666667,2.009803500979478e-05,2.5116434941689176e-05,0.0,0.0,0.0,0
stonehenge,risk_aware_topk_v0,3,0,0,3,3,0,0.0008069268660619855,0.0009905834449455142,0.40180828555717424,0.46906883639845437,0.46906883639845437,181.0,0.05868035583492507,0.06675752457231283,0.9591520467836258,0.05253576096451673,277.718126405758,0
stonehenge,safer_splat_filter,3,0,0,3,3,0,0.0008069269824773073,0.0009905836001659434,0.4018082982258126,0.4690688264632958,0.4690688264632958,181.0,0.057074419453135156,0.06612443945681055,0.9591520467836258,0.05253575512589793,416.41058929374714,0
