scene,method,rows,success_count,collision_count,collision_free_count,stopped_before_goal_count,solver_failed_count,min_safety_h_min,min_safety_h_mean,goal_distance_reduction_ratio_mean,final_goal_distance_mean,closest_goal_distance_mean,num_steps_mean,runtime_mean_mean,runtime_p95_mean,intervention_rate_mean,control_deviation_mean_mean,active_constraints_mean_mean,qp_infeasible_count_sum
stonehenge,no_filter,100,0,99,1,100,0,-0.00023618369596078992,-0.00021362821251386777,0.9915018246518946,0.006663629342434534,0.0008040468408001629,312.24,1.9203924978311324e-05,2.431408129632472e-05,0.0,0.0,0.0,0
stonehenge,risk_aware_topk_v0,100,0,0,100,100,0,0.0003172536671627313,0.0008605999680003151,0.3247081815273468,0.5295145601352117,0.5291062569871259,149.8,0.06135442952596271,0.06913961264677346,0.9238590979584118,0.06907969635546894,295.71277631192885,0
stonehenge,safer_splat_filter,100,0,0,100,100,0,0.000317254540277645,0.0008604969101725146,0.324696751118169,0.5295235229671028,0.5291133673398228,149.88,0.06125752391329338,0.0695818726113066,0.9254504193236854,0.06909715477600109,505.58664953518127,0
