scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,safer_splat_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.14498873355662784,0.14498873355662784,325,325,0.06062971264410477,0.07055210508406162,0.9046153846153846,0.02506676092467719,0.07492418587207794,316.7938461538462,485.0,0,26.667489632964134,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069269824773073,official GSplatLoader.query_distance safety h value; not meters,0.19687965977773483,0.7840896733951637,0.6297183652618886,0.6297183652618886,114,114,0.05753882449904555,0.06673318310640752,0.9824561403508771,0.06708244783856405,0.1060621365904808,447.2456140350877,905.4,0,9.006014130078256,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001313697430305183,official GSplatLoader.query_distance safety h value; not meters,0.19347984402805463,0.7842325773112758,0.6324993805713709,0.6324993805713709,104,104,0.05770840831638242,0.06623390070162713,0.9903846153846154,0.06545805661445254,0.08727268874645233,485.1923076923077,981.6499999999997,0,8.211414330638945,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008620934560895,official GSplatLoader.query_distance safety h value; not meters,0.22796674539090717,0.7842277798056816,0.6054499251982434,0.6054499251982434,123,123,0.06089091892316332,0.06964142713695765,0.991869918699187,0.06581279634482916,0.08786013722419739,539.5934959349594,1007.2999999999995,0,10.105387489311397,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000838582287542522,official GSplatLoader.query_distance safety h value; not meters,0.8193102780640665,0.784082025527739,0.1416755631675707,0.1416755631675707,357,357,0.05988855646917967,0.06819056402891874,0.9523809523809523,0.03923597396403029,0.07863812148571014,351.8935574229692,680.3999999999999,0,29.036611697636545,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147453725337982,official GSplatLoader.query_distance safety h value; not meters,0.291468882063387,0.7840002568014284,0.5554885784141077,0.5554885784141077,170,170,0.062452594755107865,0.06947327475063501,0.9588235294117647,0.06462905063563323,0.09789249300956726,619.9529411764706,852.3,0,14.373687306419015,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385841941460967,official GSplatLoader.query_distance safety h value; not meters,0.5703917731194327,0.7840974736682284,0.3368547253641399,0.3368547253641399,243,243,0.05982374081027851,0.06952554890885948,0.9218106995884774,0.05751893242755076,0.1121610477566719,404.5514403292181,668.8999999999997,0,19.659858662635088,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742089848965406,official GSplatLoader.query_distance safety h value; not meters,0.5912356037205354,0.7842369518727405,0.3205681441723083,0.3205681441723083,225,225,0.06127928380750947,0.07234702501446008,0.8933333333333333,0.04755965504176791,0.08738937973976135,403.47555555555556,685.1999999999999,0,18.6997372219339,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000632053124718368,official GSplatLoader.query_distance safety h value; not meters,0.8225472634165214,0.7842225786662452,0.13916244267487748,0.13916244267487748,331,331,0.05814361213242179,0.06795989209786057,0.9274924471299094,0.04766106851716785,0.08338264375925064,382.6465256797583,725.0,0,26.170409006997943,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710303369909525,official GSplatLoader.query_distance safety h value; not meters,0.7953130341136115,0.7840745608661205,0.16048984289238866,0.16048984289238866,303,303,0.059037644938618045,0.06865045921877025,0.9075907590759076,0.04677319670928579,0.09014107286930084,434.970297029703,805.4999999999999,0,24.2107565253973,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090779159218073,official GSplatLoader.query_distance safety h value; not meters,0.6669701065034062,0.7840010261711613,0.2610957782470022,0.2610957782470022,264,264,0.06041986731614805,0.06757811093702912,0.9772727272727273,0.06885043161988882,0.11730293184518814,459.07575757575756,719.8,0,21.466257733292878,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
