scene,trial,step,candidate_budget,candidate_count_total,candidate_count_forced_near,candidate_count_forced_heading,candidate_count_risk_ranked,candidate_count_final,fallback_used,v1_insertion_level,near_distance_threshold,heading_distance_threshold,heading_cos_threshold,risk_score_name,fallback_reason,min_safety_h_step,runtime_step,control_deviation,active_constraints_count
flight,0,30,2000,281756,0,37171,0,37171,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.010281703434884548,0.07030119560658932,0.01777663268148899,260
flight,0,31,2000,281756,0,37047,0,37047,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.009816237725317478,0.0704837255179882,0.021399404853582382,280
flight,0,32,2000,281756,0,35008,0,35008,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.009368203580379486,0.06961611472070217,0.02448229119181633,269
flight,0,33,2000,281756,0,33520,0,33520,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.008938010782003403,0.06901847384870052,0.027155360206961632,268
flight,0,34,2000,281756,0,32490,0,32491,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.008525718003511429,0.0687263272702694,0.02951526828110218,266
flight,0,35,2000,281756,0,31496,0,31497,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.008131131529808044,0.06663691997528076,0.031634505838155746,240
flight,0,36,2000,281756,0,30583,0,30584,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0077538941986858845,0.06653688289225101,0.033567700535058975,233
flight,0,37,2000,281756,0,29791,0,29792,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.007393531035631895,0.0661647841334343,0.03535540774464607,234
flight,0,38,2000,281756,0,29193,0,29194,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.007049495819956064,0.06542932614684105,0.037028513848781586,224
flight,0,39,2000,281756,0,28574,0,28576,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.00672119902446866,0.06597675569355488,0.038610201328992844,251
flight,0,40,2000,281756,0,28012,0,28015,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.006408029701560736,0.06558975763618946,0.040118034929037094,244
flight,0,41,2000,281756,0,27450,0,27453,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.006109369918704033,0.06573173776268959,0.041565198451280594,251
flight,0,42,2000,281756,0,27040,0,27043,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.005824599880725145,0.06538537703454494,0.04296199232339859,263
flight,0,43,2000,281756,0,26655,0,26658,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.005553117953240871,0.06538593955338001,0.04431572183966637,272
flight,0,44,2000,281756,0,26276,0,26280,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.005294328089803457,0.06470577605068684,0.045670390129089355,268
flight,0,45,2000,281756,15,25956,0,25960,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.005047671962529421,0.06381865218281746,0.04707681015133858,263
flight,0,46,2000,281756,25,25676,0,25680,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0048126354813575745,0.06380303390324116,0.04842846468091011,254
flight,0,47,2000,281756,45,25500,0,25504,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.004588712006807327,0.06471269764006138,0.04973369091749191,250
flight,0,48,2000,281756,114,25339,0,25343,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.004375404678285122,0.06297737546265125,0.050998419523239136,249
flight,0,49,2000,281756,190,25186,0,25190,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.004172233399003744,0.06315428763628006,0.052227042615413666,252
flight,0,50,2000,281756,276,25037,0,25041,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.003978729248046875,0.0645283181220293,0.05342321842908859,245
flight,0,51,2000,281756,386,24896,0,24900,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.003794441930949688,0.06264975666999817,0.05458923056721687,232
flight,0,52,2000,281756,467,24738,0,24742,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.003618938382714987,0.06191239506006241,0.05572706460952759,213
flight,0,53,2000,281756,535,24600,0,24604,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0034518036991357803,0.06432096473872662,0.05683797597885132,213
flight,0,54,2000,281756,613,24462,0,24466,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0032926425337791443,0.06335826218128204,0.05792289972305298,204
flight,0,55,2000,281756,663,24233,0,24237,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0031410795636475086,0.062436316162347794,0.05898233503103256,188
flight,0,56,2000,281756,726,24130,0,24134,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0029967520385980606,0.06368055380880833,0.06001652032136917,181
flight,0,57,2000,281756,815,24079,0,24083,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0028593186289072037,0.061492498964071274,0.06102577969431877,181
flight,0,58,2000,281756,919,24042,0,24046,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0027284533716738224,0.06192542612552643,0.06200999766588211,208
flight,0,59,2000,281756,1021,23997,0,24001,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.00260384613648057,0.06388587318360806,0.06296887993812561,212
flight,0,60,2000,281756,1104,23933,0,23937,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0024852012284100056,0.06264162994921207,0.06390206515789032,208
flight,0,61,2000,281756,1190,23860,0,23864,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.002372240647673607,0.06310701370239258,0.0648091658949852,206
flight,0,62,2000,281756,1253,23792,0,23796,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.002264697104692459,0.06226621940732002,0.06568948924541473,207
flight,0,63,2000,281756,1335,23704,0,23708,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0021623168140649796,0.06340361945331097,0.06654243916273117,203
flight,0,64,2000,281756,1407,23597,0,23601,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0020648613572120667,0.0626798253506422,0.06736699491739273,201
flight,0,65,2000,281756,1464,23511,0,23515,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.001972104422748089,0.06390071101486683,0.06816216558218002,199
flight,0,66,2000,281756,1521,23378,0,23382,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0018838293617591262,0.062247373163700104,0.06892672181129456,204
flight,0,67,2000,281756,1594,23201,0,23205,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0017998331459239125,0.06213005818426609,0.06965914368629456,205
flight,0,68,2000,281756,1644,23001,0,23006,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0017199240392073989,0.06265677884221077,0.07035769522190094,201
flight,0,69,2000,281756,1700,22874,0,22885,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0016439160099253058,0.061082251369953156,0.07102042436599731,161
flight,0,70,2000,281756,1799,22766,0,22825,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0015716393245384097,0.062210993841290474,0.07164493203163147,156
flight,0,71,2000,281756,1911,22675,0,22797,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.00150292890612036,0.061148546636104584,0.07222852855920792,163
flight,0,72,2000,281756,2033,22602,0,22798,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0014376324834302068,0.06175350211560726,0.07276793569326401,171
flight,0,73,2000,281756,2166,22506,0,22787,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.001375602907501161,0.06207948364317417,0.0732593759894371,171
flight,0,74,2000,281756,2289,22426,0,22792,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0013167051365599036,0.06070102006196976,0.07369864732027054,173
flight,0,75,2000,281756,2422,22345,0,22796,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0012608104152604938,0.061856113374233246,0.0740806832909584,171
flight,0,76,2000,281756,2566,22255,0,22802,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0012077979044988751,0.061087578535079956,0.07439988106489182,175
flight,0,77,2000,281756,2677,22183,0,22801,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.0011575532844290137,0.06099587678909302,0.07497185468673706,174
flight,0,78,2000,281756,2794,22143,0,22837,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.001109904027543962,0.06300438567996025,0.07602312415838242,177
