scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_topk_v0,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653529298774,0.784,0.14498876330297616,0.14498876330297616,325,325,0.0622042034394466,0.07260113731026649,0.9046153846153846,0.025066764763861334,0.07492410391569138,271.87384615384616,300.0,0,26.193817736580968,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069268660619855,official GSplatLoader.query_distance safety h value; not meters,0.19687965967683657,0.7840896733951637,0.6297183653410019,0.6297183653410019,114,114,0.05843905251669256,0.06515528773888946,0.9824561403508771,0.06708247799945825,0.106062151491642,265.4824561403509,300.0,0,8.738659672439098,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00131369405426085,official GSplatLoader.query_distance safety h value; not meters,0.1934797679662673,0.7842325773112758,0.6324994402215024,0.6324994402215024,104,104,0.05841480460591041,0.06629164675250648,0.9903846153846154,0.06545804727983733,0.08727268874645233,295.7980769230769,300.0,0,7.953992377966642,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008017164655029774,official GSplatLoader.query_distance safety h value; not meters,0.22801518860151504,0.7842277798056816,0.6054119346867417,0.6054119346867417,123,123,0.06039294783722579,0.07007957845926284,0.991869918699187,0.06581014312606881,0.08797582983970642,316.0487804878049,423.69999999999965,0,9.664059007540345,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008385834516957402,official GSplatLoader.query_distance safety h value; not meters,0.8193102028248116,0.784082025527739,0.14167562216131804,0.14167562216131804,357,357,0.059884298582370876,0.06674721501767635,0.9523809523809523,0.039236019094926806,0.07863831520080566,261.7422969187675,300.0,0,27.734449449926615,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147258147597313,official GSplatLoader.query_distance safety h value; not meters,0.2914679753721048,0.7840002568014284,0.5554892892603058,0.5554892892603058,170,170,0.06194056663662195,0.0661281045526266,0.9588235294117647,0.0646292407122284,0.0978931337594986,301.1058823529412,300.0,0,13.62924692966044,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000538584659807384,official GSplatLoader.query_distance safety h value; not meters,0.5703917921110827,0.7840974736682284,0.3368547104728351,0.3368547104728351,243,243,0.06035872710554443,0.06756702605634926,0.9218106995884774,0.05751892229182118,0.11216100305318832,278.7695473251029,300.0,0,19.02999411895871,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742104982957244,official GSplatLoader.query_distance safety h value; not meters,0.5912355926870311,0.7842369518727405,0.3205681528251901,0.3205681528251901,225,225,0.05958789985213015,0.06651058532297612,0.8933333333333333,0.04755966092280897,0.08738943189382553,285.00444444444446,300.0,0,17.453535506501794,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320533575490117,official GSplatLoader.query_distance safety h value; not meters,0.8225472634165214,0.7842225786662452,0.13916244267487748,0.13916244267487748,331,331,0.059205315748280266,0.06655132211744785,0.9274924471299094,0.04766104886716837,0.08338263630867004,281.17220543806644,300.0,0,25.588729478418827,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710411636158824,official GSplatLoader.query_distance safety h value; not meters,0.7953132047250254,0.7840745608661205,0.16048970912031923,0.16048970912031923,303,303,0.06050216565185254,0.0702546512708068,0.9075907590759076,0.04677314093868879,0.09014107286930084,292.87458745874585,300.0,0,23.825256746262312,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005337460897862911,official GSplatLoader.query_distance safety h value; not meters,0.6659025087419923,0.7840010261711613,0.2619327759874886,0.2619327759874886,262,262,0.06151167707844772,0.06961261983960867,0.9770992366412213,0.06849232296263054,0.1166439801454544,297.1145038167939,300.0,0,20.77334731258452,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00046901931636966765,official GSplatLoader.query_distance safety h value; not meters,0.8293975845057411,0.7841053949339123,0.13377027437780525,0.13377027437780525,347,347,0.06130800729010909,0.07012751474976539,0.9942363112391931,0.07441927748840031,0.11688201129436493,296.02017291066284,300.0,0,27.531243471428752,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
